source_name,source_event_id,source_name_value,event_type,time_utc,precision,time_definition,quality,pad,vehicle_mission,stations_recorded,notes,source_url,source_file,time_role,location,status,retrieved_at,cache_source,persistent_event_id
launch_library_2,67158b3c-201d-4450-be8a-990010c05b40,Falcon 9 Block 5 | Starlink Group 4-23,orbital_launch,2022-08-28T03:41:20Z,,LL2 NET/T-0,Launch Successful,Space Launch Complex 40,Falcon 9 Block 5 | Starlink Group 4-23,,,https://ll.thespacedevs.com/2.3.0/launches/67158b3c-201d-4450-be8a-990010c05b40/?format=json,,actual_event_time,"Cape Canaveral SFS, FL, USA",Launch Successful,2026-09-15T20:32:52.213460Z,launch_library_2,
launch_library_2,84bf3b54-96ca-4ac4-bbaf-e25ed03e831c,Falcon 9 Block 5 | Starlink Group 4-20 & Varuna-TDM,orbital_launch,2022-09-05T02:09:40Z,,LL2 NET/T-0,Launch Successful,Space Launch Complex 40,Falcon 9 Block 5 | Starlink Group 4-20 & Varuna-TDM,,,https://ll.thespacedevs.com/2.3.0/launches/84bf3b54-96ca-4ac4-bbaf-e25ed03e831c/?format=json,,actual_event_time,"Cape Canaveral SFS, FL, USA",Launch Successful,2026-09-15T20:32:52.213460Z,launch_library_2,
launch_library_2,992823ad-f843-4a4a-beca-882b8ce8773a,Falcon 9 Block 5 | Starlink Group 4-2 & BlueWalker 3,orbital_launch,2022-09-11T01:20:00Z,,LL2 NET/T-0,Launch Successful,Launch Complex 39A,Falcon 9 Block 5 | Starlink Group 4-2 & BlueWalker 3,,,https://ll.thespacedevs.com/2.3.0/launches/992823ad-f843-4a4a-beca-882b8ce8773a/?format=json,,actual_event_time,"Kennedy Space Center, FL, USA",Launch Successful,2026-09-15T20:32:52.213460Z,launch_library_2,
launch_library_2,9ba04064-c329-40bf-b477-ff468d7d8058,Falcon 9 Block 5 | Starlink Group 4-34,orbital_launch,2022-09-19T00:18:40Z,second,LL2 NET/T-0,Launch Successful,Space Launch Complex 40,Falcon 9 Block 5 | Starlink Group 4-34,,,https://ll.thespacedevs.com/2.3.0/launches/9ba04064-c329-40bf-b477-ff468d7d8058/?format=json,,actual_event_time,"Cape Canaveral SFS, FL, USA",Launch Successful,2026-09-15T20:32:52.213460Z,launch_library_2,
launch_library_2,1c903b65-6667-4fd5-944d-296c5f13e01f,Falcon 9 Block 5 | Starlink Group 4-35,orbital_launch,2022-09-24T23:32:10Z,,LL2 NET/T-0,Launch Successful,Space Launch Complex 40,Falcon 9 Block 5 | Starlink Group 4-35,,,https://ll.thespacedevs.com/2.3.0/launches/1c903b65-6667-4fd5-944d-296c5f13e01f/?format=json,,actual_event_time,"Cape Canaveral SFS, FL, USA",Launch Successful,2026-09-15T20:32:52.213460Z,launch_library_2,
launch_library_2,ae6f284f-20be-43db-8af1-c6981c1cdcbd,Atlas V 531 | SES-20 & SES-21,orbital_launch,2022-10-04T21:36:00Z,,LL2 NET/T-0,Launch Successful,Space Launch Complex 41,Atlas V 531 | SES-20 & SES-21,,,https://ll.thespacedevs.com/2.3.0/launches/ae6f284f-20be-43db-8af1-c6981c1cdcbd/?format=json,,actual_event_time,"Cape Canaveral SFS, FL, USA",Launch Successful,2026-09-15T20:32:52.213460Z,launch_library_2,
launch_library_2,f33d5ece-e825-4cd8-809f-1d4c72a2e0d3,Falcon 9 Block 5 | Crew-5,orbital_launch,2022-10-05T16:00:57Z,,LL2 NET/T-0,Launch Successful,Launch Complex 39A,Falcon 9 Block 5 | Crew-5,,,https://ll.thespacedevs.com/2.3.0/launches/f33d5ece-e825-4cd8-809f-1d4c72a2e0d3/?format=json,,actual_event_time,"Kennedy Space Center, FL, USA",Launch Successful,2026-09-15T20:32:52.213460Z,launch_library_2,
launch_library_2,03ee73b8-a553-4575-8dfa-d0da4e7939e9,Falcon 9 Block 5 | Galaxy 33 & 34,orbital_launch,2022-10-08T23:05:00Z,,LL2 NET/T-0,Launch Successful,Space Launch Complex 40,Falcon 9 Block 5 | Galaxy 33 & 34,,,https://ll.thespacedevs.com/2.3.0/launches/03ee73b8-a553-4575-8dfa-d0da4e7939e9/?format=json,,actual_event_time,"Cape Canaveral SFS, FL, USA",Launch Successful,2026-09-15T20:32:52.213460Z,launch_library_2,
launch_library_2,13977bd5-45d2-4ed1-9a4a-9fefeee0723a,Falcon 9 Block 5 | Hotbird 13F,orbital_launch,2022-10-15T05:22:00Z,,LL2 NET/T-0,Launch Successful,Space Launch Complex 40,Falcon 9 Block 5 | Hotbird 13F,,,https://ll.thespacedevs.com/2.3.0/launches/13977bd5-45d2-4ed1-9a4a-9fefeee0723a/?format=json,,actual_event_time,"Cape Canaveral SFS, FL, USA",Launch Successful,2026-09-15T20:32:52.213460Z,launch_library_2,
launch_library_2,adcb0090-6f97-40c2-821f-104b5ed3e9c7,Falcon 9 Block 5 | Starlink Group 4-36,orbital_launch,2022-10-20T14:50:40Z,second,LL2 NET/T-0,Launch Successful,Space Launch Complex 40,Falcon 9 Block 5 | Starlink Group 4-36,,,https://ll.thespacedevs.com/2.3.0/launches/adcb0090-6f97-40c2-821f-104b5ed3e9c7/?format=json,,actual_event_time,"Cape Canaveral SFS, FL, USA",Launch Successful,2026-09-15T20:32:52.213460Z,launch_library_2,
