source_name,source_event_id,source_name_value,event_type,time_utc,precision,time_definition,quality,pad,location,vehicle_mission,status,source_url,notes,time_role,retrieved_at,cache_source
gcat,1974-W996,"- | Starute,Datasonde | - | -",orbital_launch,1974-08-02T13:44:59Z,second,GCAT Launch_Date (UTC; first motion),SS,LC43,CC,"Rocketsonde - | - | Starute,Datasonde | - | -",SS,https://planet4589.org/space/gcat/tsv/launch/launch.tsv,-,actual_event_time,2026-09-15T22:00:05.005411Z,gcat
gcat,1974-W1017,"- | Starute,Datasonde | - | -",orbital_launch,1974-08-07T16:30:00Z,second,GCAT Launch_Date (UTC; first motion),SS,LC43,CC,"Rocketsonde - | - | Starute,Datasonde | - | -",SS,https://planet4589.org/space/gcat/tsv/launch/launch.tsv,-,actual_event_time,2026-09-15T22:00:05.005411Z,gcat
gcat,1974-W1038,"- | Starute,Datasonde | - | -",orbital_launch,1974-08-13T14:35:00Z,second,GCAT Launch_Date (UTC; first motion),SS,LC43,CC,"Rocketsonde - | - | Starute,Datasonde | - | -",SS,https://planet4589.org/space/gcat/tsv/launch/launch.tsv,-,actual_event_time,2026-09-15T22:00:05.005411Z,gcat
gcat,1974-W1041,"- | Starute,Datasonde | - | -",orbital_launch,1974-08-14T13:44:59Z,second,GCAT Launch_Date (UTC; first motion),SS,LC43,CC,"Rocketsonde - | - | Starute,Datasonde | - | -",SS,https://planet4589.org/space/gcat/tsv/launch/launch.tsv,-,actual_event_time,2026-09-15T22:00:05.005411Z,gcat
gcat,1974-Y256,- | Met Sphere | - | -,orbital_launch,1974-08-14T16:30:00Z,second,GCAT Launch_Date (UTC; first motion),SS,LC43,CC,Rocketsonde - | - | Met Sphere | - | -,SS,https://planet4589.org/space/gcat/tsv/launch/launch.tsv,-,actual_event_time,2026-09-15T22:00:05.005411Z,gcat
gcat,1974-W1050,"- | Starute,Datasonde | - | -",orbital_launch,1974-08-16T14:14:00Z,second,GCAT Launch_Date (UTC; first motion),SS,LC43,CC,"Rocketsonde - | - | Starute,Datasonde | - | -",SS,https://planet4589.org/space/gcat/tsv/launch/launch.tsv,-,actual_event_time,2026-09-15T22:00:05.005411Z,gcat
gcat,1974-W1070,"- | Starute,Datasonde | - | -",orbital_launch,1974-08-21T14:18:00Z,second,GCAT Launch_Date (UTC; first motion),SS,LC43,CC,"Rocketsonde - | - | Starute,Datasonde | - | -",SS,https://planet4589.org/space/gcat/tsv/launch/launch.tsv,-,actual_event_time,2026-09-15T22:00:05.005411Z,gcat
gcat,1974-Y264,- | Met Sphere | - | -,orbital_launch,1974-08-21T16:30:00Z,second,GCAT Launch_Date (UTC; first motion),SS,LC43,CC,Rocketsonde - | - | Met Sphere | - | -,SS,https://planet4589.org/space/gcat/tsv/launch/launch.tsv,-,actual_event_time,2026-09-15T22:00:05.005411Z,gcat
gcat,1974-W1080,"- | Starute,Datasonde | - | -",orbital_launch,1974-08-22T13:44:59Z,second,GCAT Launch_Date (UTC; first motion),SS,LC43,CC,"Rocketsonde - | - | Starute,Datasonde | - | -",SS,https://planet4589.org/space/gcat/tsv/launch/launch.tsv,-,actual_event_time,2026-09-15T22:00:05.005411Z,gcat
gcat,1974-W1082,"- | Starute,Datasonde | - | -",orbital_launch,1974-08-23T13:44:59Z,second,GCAT Launch_Date (UTC; first motion),SS,LC43,CC,"Rocketsonde - | - | Starute,Datasonde | - | -",SS,https://planet4589.org/space/gcat/tsv/launch/launch.tsv,-,actual_event_time,2026-09-15T22:00:05.005411Z,gcat
gcat,1974-W1089,"- | Starute,Datasonde | - | -",orbital_launch,1974-08-26T13:44:59Z,second,GCAT Launch_Date (UTC; first motion),SS,LC43,CC,"Rocketsonde - | - | Starute,Datasonde | - | -",SS,https://planet4589.org/space/gcat/tsv/launch/launch.tsv,-,actual_event_time,2026-09-15T22:00:05.005411Z,gcat
gcat,1974-Y274,- | Met Sphere | - | -,orbital_launch,1974-08-28T16:44:59Z,second,GCAT Launch_Date (UTC; first motion),SS,LC43,CC,Rocketsonde - | - | Met Sphere | - | -,SS,https://planet4589.org/space/gcat/tsv/launch/launch.tsv,-,actual_event_time,2026-09-15T22:00:05.005411Z,gcat
gcat,1974-W1108,"- | Starute,Datasonde | - | -",orbital_launch,1974-08-30T13:44:59Z,second,GCAT Launch_Date (UTC; first motion),SS,LC43,CC,"Rocketsonde - | - | Starute,Datasonde | - | -",SS,https://planet4589.org/space/gcat/tsv/launch/launch.tsv,-,actual_event_time,2026-09-15T22:00:05.005411Z,gcat
gcat,1974-W1121,"- | Starute,Datasonde | - | -",orbital_launch,1974-09-03T14:35:00Z,second,GCAT Launch_Date (UTC; first motion),SS,LC43,CC,"Rocketsonde - | - | Starute,Datasonde | - | -",SS,https://planet4589.org/space/gcat/tsv/launch/launch.tsv,-,actual_event_time,2026-09-15T22:00:05.005411Z,gcat
gcat,1974-W1125,"- | Starute,Datasonde | - | -",orbital_launch,1974-09-04T13:44:59Z,second,GCAT Launch_Date (UTC; first motion),SS,LC43,CC,"Rocketsonde - | - | Starute,Datasonde | - | -",SS,https://planet4589.org/space/gcat/tsv/launch/launch.tsv,-,actual_event_time,2026-09-15T22:00:05.005411Z,gcat
gcat,1974-Y282,- | Met Sphere | - | -,orbital_launch,1974-09-04T16:38:59Z,second,GCAT Launch_Date (UTC; first motion),SS,LC43,CC,Rocketsonde - | - | Met Sphere | - | -,SS,https://planet4589.org/space/gcat/tsv/launch/launch.tsv,-,actual_event_time,2026-09-15T22:00:05.005411Z,gcat
gcat,1974-W1134,"- | Starute,Datasonde | - | -",orbital_launch,1974-09-05T14:30:00Z,second,GCAT Launch_Date (UTC; first motion),SS,LC43,CC,"Rocketsonde - | - | Starute,Datasonde | - | -",SS,https://planet4589.org/space/gcat/tsv/launch/launch.tsv,-,actual_event_time,2026-09-15T22:00:05.005411Z,gcat
gcat,1974-W1163,"- | Starute,Datasonde | - | -",orbital_launch,1974-09-11T16:30:00Z,second,GCAT Launch_Date (UTC; first motion),SS,LC43,CC,"Rocketsonde - | - | Starute,Datasonde | - | -",SS,https://planet4589.org/space/gcat/tsv/launch/launch.tsv,-,actual_event_time,2026-09-15T22:00:05.005411Z,gcat
gcat,1974-W1176,"- | Starute,Datasonde | - | -",orbital_launch,1974-09-13T17:00:00Z,second,GCAT Launch_Date (UTC; first motion),SS,LC43,CC,"Rocketsonde - | - | Starute,Datasonde | - | -",SS,https://planet4589.org/space/gcat/tsv/launch/launch.tsv,-,actual_event_time,2026-09-15T22:00:05.005411Z,gcat
gcat,1974-W1180,"- | Starute,Datasonde | - | -",orbital_launch,1974-09-16T13:44:59Z,second,GCAT Launch_Date (UTC; first motion),SS,LC43,CC,"Rocketsonde - | - | Starute,Datasonde | - | -",SS,https://planet4589.org/space/gcat/tsv/launch/launch.tsv,-,actual_event_time,2026-09-15T22:00:05.005411Z,gcat
gcat,1974-W1192,"- | Starute,Datasonde | - | -",orbital_launch,1974-09-18T13:44:59Z,second,GCAT Launch_Date (UTC; first motion),SS,LC43,CC,"Rocketsonde - | - | Starute,Datasonde | - | -",SS,https://planet4589.org/space/gcat/tsv/launch/launch.tsv,-,actual_event_time,2026-09-15T22:00:05.005411Z,gcat
gcat,1974-Y296,- | Met Sphere | - | -,orbital_launch,1974-09-18T16:30:00Z,second,GCAT Launch_Date (UTC; first motion),SS,LC43,CC,Rocketsonde - | - | Met Sphere | - | -,SS,https://planet4589.org/space/gcat/tsv/launch/launch.tsv,-,actual_event_time,2026-09-15T22:00:05.005411Z,gcat
