,sourcefile,outputfile,starttime,endtime,hours,npts,nRECS,Fs,numValidTimes,numTimeSkips,passed,SDS,miniseed
1131,20220923\Baro\100hz_Baro_Sensors351.csv,20220923.Baro.100hz_Baro_Sensors351.csv,2022/09/18 12:00:00,2022/09/18 16:00:00,4.0,1440000,1440000.0,100.000095368,1440000,0.0,True,True,True
1132,20220923\100hz\100hz_Sensors_100Hz215.csv,20220923.100hz.100hz_Sensors_100Hz215.csv,2022/09/18 12:00:00,2022/09/18 16:00:00,4.0,1440000,1440000.0,100.000095368,1440000,0.0,True,True,True
1133,20220923\20hz\20hz_Sensors_20Hz351.csv,20220923.20hz.20hz_Sensors_20Hz351.csv,2022/09/18 12:00:00,2022/09/18 16:00:00,4.0,288000,288000.0,20.0000190735,288000,0.0,True,True,True
1134,20220923\Baro\100hz_Baro_Sensors352.csv,20220923.Baro.100hz_Baro_Sensors352.csv,2022/09/18 16:00:00,2022/09/18 20:00:00,4.0,1440000,1440000.0,100.000095368,1440000,0.0,True,True,True
1135,20220923\100hz\100hz_Sensors_100Hz216.csv,20220923.100hz.100hz_Sensors_100Hz216.csv,2022/09/18 16:00:00,2022/09/18 20:00:00,4.0,1439752,1439752.0,100.000095368,1439752,2.0,True,False,True
1136,20220923\20hz\20hz_Sensors_20Hz352.csv,20220923.20hz.20hz_Sensors_20Hz352.csv,2022/09/18 16:00:00,2022/09/18 20:00:00,4.0,287982,287982.0,20.0000190735,287982,2.0,True,False,True
1137,20220923\20hz\20hz_Sensors_20Hz353.csv,20220923.20hz.20hz_Sensors_20Hz353.csv,2022/09/18 20:00:00,2022/09/19 00:00:00,4.0,287943,287943.0,20.0000190735,287943,3.0,True,False,True
1138,20220923\Baro\100hz_Baro_Sensors353.csv,20220923.Baro.100hz_Baro_Sensors353.csv,2022/09/18 20:00:00,2022/09/19 00:00:00,4.0,1440000,1440000.0,100.000095368,1440000,0.0,True,True,True
1139,20220923\100hz\100hz_Sensors_100Hz217.csv,20220923.100hz.100hz_Sensors_100Hz217.csv,2022/09/18 20:00:00,2022/09/19 00:00:00,4.0,1440000,1440000.0,100.000095368,1440000,0.0,True,True,True
1140,20220923\Baro\100hz_Baro_Sensors354.csv,20220923.Baro.100hz_Baro_Sensors354.csv,2022/09/19 00:00:00,2022/09/19 03:42:24,3.71,1334485,1334485.0,100.000095368,1334485,0.0,True,True,True
1141,20220923\100hz\100hz_Sensors_100Hz218.csv,20220923.100hz.100hz_Sensors_100Hz218.csv,2022/09/19 00:00:00,2022/09/19 03:42:24,3.71,1334489,1334489.0,100.000095368,1334489,0.0,True,True,True
1142,20220923\20hz\20hz_Sensors_20Hz354.csv,20220923.20hz.20hz_Sensors_20Hz354.csv,2022/09/19 00:00:00,2022/09/19 03:42:22,3.71,266858,266858.0,20.0000190735,266858,0.0,True,True,True
1143,20220923\100hz\100hz_Sensors_100Hz219.csv,20220923.100hz.100hz_Sensors_100Hz219.csv,2022/09/19 03:42:24,2022/09/19 12:00:00,8.29,1320112,1320102.0,100.000095368,1320102,1.0,False,False,True
1144,20220923\20hz\20hz_Sensors_20Hz355.csv,20220923.20hz.20hz_Sensors_20Hz355.csv,2022/09/19 03:42:24,2022/09/19 12:00:00,8.29,263995,263976.0,20.0000190735,263976,4.0,False,False,True
1145,20220923\Baro\100hz_Baro_Sensors355.csv,20220923.Baro.100hz_Baro_Sensors355.csv,2022/09/19 03:42:25,2022/09/19 12:00:00,8.29,1320502,1320488.0,100.000095368,1320488,2.0,False,False,True
1148,20220923\20hz\20hz_Sensors_20Hz356.csv,20220923.20hz.20hz_Sensors_20Hz356.csv,2022/09/19 12:00:00,2022/09/19 16:00:00,4.0,287981,287981.0,20.0000190735,287981,1.0,True,False,True
1147,20220923\100hz\100hz_Sensors_100Hz220.csv,20220923.100hz.100hz_Sensors_100Hz220.csv,2022/09/19 12:00:00,2022/09/19 16:00:00,4.0,1440000,1440000.0,100.000095368,1440000,0.0,True,True,True
