name,slug,launch_designator,SLC,success,net,window_start,window_end
Falcon 9 Block 5 | Danuri (KPLO - Korean Pathfinder Lunar Orbiter),falcon-9-block-5-danuri-kplo-korean-pathfinder-lun,2022-094,Rocket Lab Launch Complex 1B,True,2022-08-04T23:08:48Z,2022-08-04 23:08:48+00:00,2022-08-04 23:08:48+00:00
Falcon 9 Block 5 | Starlink Group 4-26,falcon-9-block-5-starlink-group-4-26,2022-097,Launch Complex 39A,True,2022-08-10T02:14:40Z,2022-08-10 02:14:40+00:00,2022-08-10 02:14:40+00:00
Falcon 9 Block 5 | Starlink Group 4-27,falcon-9-block-5-starlink-group-4-27,2022-101,Space Launch Complex 40,True,2022-08-19T19:21:20Z,2022-08-19 19:21:20+00:00,2022-08-19 19:21:20+00:00
Falcon 9 Block 5 | Starlink Group 4-23,falcon-9-block-5-starlink-group-4-23,2022-104,Space Launch Complex 41,True,2022-08-28T03:41:20Z,2022-08-28 03:41:20+00:00,2022-08-28 03:41:20+00:00
Falcon 9 Block 5 | Starlink Group 4-20 & Varuna-TDM,falcon-9-block-5-starlink-group-4-20-varuna-tdm,2022-107,Space Launch Complex 40,True,2022-09-05T02:09:40Z,2022-09-05 02:09:40+00:00,2022-09-05 02:09:40+00:00
Falcon 9 Block 5 | Starlink Group 4-2 & BlueWalker 3,falcon-9-block-5-starlink-group-4-2-bluewalker-3,2022-111,Launch Complex 39A,True,2022-09-11T01:20:00Z,2022-09-11 01:20:00+00:00,2022-09-11 01:20:00+00:00
Falcon 9 Block 5 | Starlink Group 4-34,falcon-9-block-5-starlink-group-4-34,2022-114,Space Launch Complex 40,True,2022-09-19T00:18:40Z,2022-09-19 00:18:40+00:00,2022-09-19 00:18:40+00:00
Falcon 9 Block 5 | Starlink Group 4-35,falcon-9-block-5-starlink-group-4-35,2022-119,Space Launch Complex 40,True,2022-09-24T23:32:10Z,2022-09-24 23:32:10+00:00,2022-09-24 23:32:10+00:00
Atlas V 531 | SES-20 & SES-21,atlas-v-531-ses-20-ses-21,2022-123,Rocket Lab Launch Complex 1B,True,2022-10-04T21:36:00Z,2022-10-04 21:36:00+00:00,2022-10-04 22:21:00+00:00
Falcon 9 Block 5 | Crew-5,falcon-9-block-5-crew-5,2022-124,Launch Complex 39A,True,2022-10-05T16:00:57Z,2022-10-05 16:00:57+00:00,2022-10-05 16:00:57+00:00
Falcon 9 Block 5 | Galaxy 33 & 34,falcon-9-block-5-galaxy-33-34,2022-128,Space Launch Complex 40,True,2022-10-08T23:05:00Z,2022-10-08 23:05:00+00:00,2022-10-09 00:15:00+00:00
Falcon 9 Block 5 | Hotbird 13F,falcon-9-block-5-hotbird-13f,2022-134,Space Launch Complex 40,True,2022-10-15T05:22:00Z,2022-10-15 03:26:00+00:00,2022-10-15 05:22:00+00:00
Falcon 9 Block 5 | Starlink Group 4-36,falcon-9-block-5-starlink-group-4-36,2022-136,Space Launch Complex 40,True,2022-10-20T14:50:40Z,2022-10-20 14:50:40+00:00,2022-10-20 14:50:40+00:00
Falcon Heavy | USSF-44,falcon-heavy-ussf-44,2022-144,Launch Complex 39B,True,2022-11-01T13:41:00Z,2022-11-01 13:41:00+00:00,2022-11-01 14:11:00+00:00
Falcon 9 Block 5 | Hotbird 13G,falcon-9-block-5-hotbird-13g,2022-146,Space Launch Complex 40,True,2022-11-03T05:22:00Z,2022-11-03 03:26:00+00:00,2022-11-03 05:22:00+00:00
Falcon 9 Block 5 | Galaxy 31 & 32,falcon-9-block-5-galaxy-31-32,2022-153,Space Launch Complex 40,True,2022-11-12T16:06:00Z,2022-11-12 16:06:00+00:00,2022-11-12 18:06:00+00:00
SLS Block 1 | Artemis I,sls-block-1-artemis-i,2022-156,Launch Complex 39A,True,2022-11-16T06:47:44Z,2022-11-16 06:04:00+00:00,2022-11-16 08:04:00+00:00
Falcon 9 Block 5 | Eutelsat 10B,falcon-9-block-5-eutelsat-10b,2022-157,Space Launch Complex 40,True,2022-11-23T02:57:00Z,2022-11-23 02:57:00+00:00,2022-11-23 02:57:00+00:00
Falcon 9 Block 5 | Dragon CRS-2 SpX-26,falcon-9-block-5-dragon-crs-2-spx-26,2022-159,Launch Complex 39A,True,2022-11-26T19:20:43Z,2022-11-26 19:20:43+00:00,2022-11-26 19:20:43+00:00
Falcon 9 Block 5 | OneWeb 15,falcon-9-block-5-oneweb-15,2022-166,Launch Complex 39A,True,2022-12-08T22:27:48Z,2022-12-08 22:27:48+00:00,2022-12-08 22:27:48+00:00
Falcon 9 Block 5 | Hakuto-R M1 & Lunar Flashlight,falcon-9-block-5-hakuto-r-m1-lunar-flashlight,2022-168,Space Launch Complex 40,True,2022-12-11T07:38:13Z,2022-12-11 07:38:13+00:00,2022-12-11 07:38:13+00:00
Falcon 9 Block 5 | O3b mPower 1 & 2,falcon-9-block-5-o3b-mpower-1-2,2022-174,Space Launch Complex 40,True,2022-12-16T22:48:00Z,2022-12-16 21:21:00+00:00,2022-12-16 22:48:00+00:00
Falcon 9 Block 5 | Starlink Group 4-37,falcon-9-block-5-starlink-group-4-37,2022-175,Launch Complex 39A,True,2022-12-17T21:32:30Z,2022-12-17 21:32:30+00:00,2022-12-17 21:32:30+00:00
Falcon 9 Block 5 | Starlink Group 5-1,falcon-9-block-5-starlink-group-5-1,2022-177,Space Launch Complex 40,True,2022-12-28T09:34:00Z,2022-12-28 09:30:00+00:00,2022-12-28 11:32:00+00:00
Falcon 9 Block 5 | Transporter 6 (Dedicated SSO Rideshare),falcon-9-block-5-transporter-6-dedicated-sso-rides,2023-001,Space Launch Complex 40,True,2023-01-03T14:55:56Z,2023-01-03 14:55:56+00:00,2023-01-03 14:55:56+00:00
Falcon 9 Block 5 | OneWeb 16,falcon-9-block-5-oneweb-16,2023-004,Space Launch Complex 37B,True,2023-01-10T04:50:17Z,2023-01-10 04:45:00+00:00,2023-01-10 05:05:00+00:00
Falcon Heavy | USSF-67,falcon-heavy-ussf-67,2023-008,Launch Complex 39A,True,2023-01-15T22:56:00Z,2023-01-15 22:56:00+00:00,2023-01-15 23:33:00+00:00
Falcon 9 Block 5 | GPS III SV06,falcon-9-block-5-gps-iii-sv06,2023-009,Space Launch Complex 40,True,2023-01-18T12:24:00Z,2023-01-18 12:10:00+00:00,2023-01-18 12:25:00+00:00
Falcon 9 Block 5 | Starlink Group 5-2,falcon-9-block-5-starlink-group-5-2,2023-013,Space Launch Complex 40,True,2023-01-26T09:32:20Z,2023-01-26 09:02:00+00:00,2023-01-26 11:24:00+00:00
Falcon 9 Block 5 | Starlink Group 5-3,falcon-9-block-5-starlink-group-5-3,2023-015,Launch Complex 39A,True,2023-02-02T07:58:20Z,2023-02-02 07:37:00+00:00,2023-02-02 12:07:00+00:00
Falcon 9 Block 5 | Amazonas Nexus,falcon-9-block-5-amazonas-nexus,2023-017,Space Launch Complex 40,True,2023-02-07T01:32:00Z,2023-02-06 22:32:00+00:00,2023-02-07 02:32:00+00:00
Falcon 9 Block 5 | Starlink Group 5-4,falcon-9-block-5-starlink-group-5-4,2023-020,Space Launch Complex 40,True,2023-02-12T05:10:10Z,2023-02-12 05:10:10+00:00,2023-02-12 05:10:10+00:00
Falcon 9 Block 5 | Inmarsat-6 F2,falcon-9-block-5-inmarsat-6-f2,2023-022,Space Launch Complex 40,True,2023-02-18T03:59:00Z,2023-02-18 03:59:00+00:00,2023-02-18 05:28:00+00:00
Falcon 9 Block 5 | Starlink Group 6-1,falcon-9-block-5-starlink-group-6-1,2023-026,Space Launch Complex 40,True,2023-02-27T23:13:50Z,2023-02-27 23:13:50+00:00,2023-02-27 23:13:50+00:00
Falcon 9 Block 5 | Crew-6,falcon-9-block-5-crew-6,2023-027,Launch Complex 39A,True,2023-03-02T05:34:14Z,2023-03-02 05:34:14+00:00,2023-03-02 05:34:14+00:00
