name,slug,launch_designator,SLC,success,net,window_start,window_end
Falcon 9 Block 5 | Starlink Group 6-29,falcon-9-block-5-starlink-group-6-29,2023-180,Space Launch Complex 40,True,2023-11-22T07:47:40Z,2023-11-22 04:15:30+00:00,2023-11-22 07:59:40+00:00
Falcon 9 Block 5 | Starlink Group 6-30,falcon-9-block-5-starlink-group-6-30,2023-183,Space Launch Complex 40,True,2023-11-28T04:20:00Z,2023-11-28 04:01:30+00:00,2023-11-28 07:58:10+00:00
Falcon 9 Block 5 | Starlink Group 6-31,falcon-9-block-5-starlink-group-6-31,2023-186,Space Launch Complex 40,True,2023-12-03T04:00:50Z,2023-12-03 04:00:50+00:00,2023-12-03 04:51:20+00:00
Falcon 9 Block 5 | Starlink Group 6-33,falcon-9-block-5-starlink-group-6-33,2023-191,Space Launch Complex 41,True,2023-12-07T05:07:30Z,2023-12-07 04:01:00+00:00,2023-12-07 07:59:00+00:00
Falcon 9 Block 5 | Starlink Group 6-34,falcon-9-block-5-starlink-group-6-34,2023-200,Space Launch Complex 40,True,2023-12-19T04:01:00Z,2023-12-19 04:01:00+00:00,2023-12-19 07:59:00+00:00
Falcon 9 Block 5 | Starlink Group 6-32,falcon-9-block-5-starlink-group-6-32,2023-203,Space Launch Complex 46,True,2023-12-23T05:33:00Z,2023-12-23 04:00:00+00:00,2023-12-23 08:00:00+00:00
Falcon Heavy | OTV-7 (X-37B) (USSF-52),falcon-heavy-otv-7-x-37b-ussf-52,2023-210,Launch Complex 39A,True,2023-12-29T01:07:00Z,2023-12-29 01:07:00+00:00,2023-12-29 01:17:00+00:00
Falcon 9 Block 5 | Starlink Group 6-36,falcon-9-block-5-starlink-group-6-36,2023-211,Space Launch Complex 40,True,2023-12-29T04:01:40Z,2023-12-29 04:01:40+00:00,2023-12-29 07:59:50+00:00
Falcon 9 Block 5 | Ovzon-3,falcon-9-block-5-ovzon-3,2024-003,Space Launch Complex 41,True,2024-01-03T23:04:00Z,2024-01-03 23:04:00+00:00,2024-01-03 23:14:00+00:00
Falcon 9 Block 5 | Starlink Group 6-35,falcon-9-block-5-starlink-group-6-35,2024-005,Space Launch Complex 40,True,2024-01-07T22:35:40Z,2024-01-07 21:00:40+00:00,2024-01-08 00:35:10+00:00
Vulcan VC2S | Peregrine lunar lander (Maiden flight),vulcan-vc2s-peregrine-lunar-lander-maiden-flight,2024-006,Space Launch Complex 40,True,2024-01-08T07:18:38Z,2024-01-08 07:18:00+00:00,2024-01-08 08:03:00+00:00
Falcon 9 Block 5 | Starlink Group 6-37,falcon-9-block-5-starlink-group-6-37,2024-012,Space Launch Complex 41,True,2024-01-15T01:52:00Z,2024-01-15 00:27:00+00:00,2024-01-15 04:23:40+00:00
Falcon 9 Block 5 | Axiom Space Mission 3,falcon-9-block-5-axiom-space-mission-3,2024-014,Launch Complex 39A,True,2024-01-18T21:49:11Z,2024-01-18 21:49:11+00:00,2024-01-18 21:49:11+00:00
Falcon 9 Block 5 | Starlink Group 6-38,falcon-9-block-5-starlink-group-6-38,2024-019,Launch Complex 39A,True,2024-01-29T01:10:00Z,2024-01-28 23:15:00+00:00,2024-01-29 02:55:00+00:00
Falcon 9 Block 5 | Cygnus CRS-2 NG-20 (S.S. Patricia “Patty” Hilliard Robertson),falcon-9-block-5-cygnus-crs-2-ng-20-ss-patricia-pa,2024-021,Space Launch Complex 40,True,2024-01-30T17:07:21Z,2024-01-30 17:07:21+00:00,2024-01-30 17:07:21+00:00
"Falcon 9 Block 5 | PACE (Plankton, Aerosol, Cloud, ocean Ecosystem)",falcon-9-block-5-pace-plankton-aerosol-cloud-ocean,2024-025,Space Launch Complex 40,True,2024-02-08T06:33:36Z,2024-02-08 06:33:36+00:00,2024-02-08 06:33:36+00:00
Falcon 9 Block 5 | USSF-124,falcon-9-block-5-ussf-124,2024-028,Space Launch Complex 41,True,2024-02-14T22:30:00Z,2024-02-14 22:30:00+00:00,2024-02-15 03:00:00+00:00
Falcon 9 Block 5 | Nova-C IM-1,falcon-9-block-5-nova-c-im-1,2024-030,Launch Complex 39A,True,2024-02-15T06:05:37Z,2024-02-15 06:05:37+00:00,2024-02-15 06:05:37+00:00
Falcon 9 Block 5 | HTS-113BT (Merah Putih 2),falcon-9-block-5-hts-113bt-merah-putih-2,2024-035,Space Launch Complex 40,True,2024-02-20T20:11:00Z,2024-02-20 20:11:00+00:00,2024-02-20 22:11:00+00:00
Falcon 9 Block 5 | Starlink Group 6-39,falcon-9-block-5-starlink-group-6-39,2024-038,Space Launch Complex 40,True,2024-02-25T22:06:00Z,2024-02-25 21:34:00+00:00,2024-02-26 01:34:00+00:00
Falcon 9 Block 5 | Starlink Group 6-40,falcon-9-block-5-starlink-group-6-40,2024-041,Space Launch Complex 40,True,2024-02-29T15:30:00Z,2024-02-29 15:30:00+00:00,2024-02-29 17:30:00+00:00
Falcon 9 Block 5 | Crew-8,falcon-9-block-5-crew-8,2024-042,Launch Complex 39A,True,2024-03-04T03:53:38Z,2024-03-04 03:53:38+00:00,2024-03-04 03:53:38+00:00
Falcon 9 Block 5 | Starlink Group 6-41,falcon-9-block-5-starlink-group-6-41,2024-044,Space Launch Complex 40,True,2024-03-04T23:56:00Z,2024-03-04 23:56:00+00:00,2024-03-05 03:54:00+00:00
Falcon 9 Block 5 | Starlink Group 6-43,falcon-9-block-5-starlink-group-6-43,2024-045,Space Launch Complex 41,True,2024-03-10T23:05:00Z,2024-03-10 23:05:00+00:00,2024-03-11 03:03:00+00:00
Falcon 9 Block 5 | Starlink Group 6-44,falcon-9-block-5-starlink-group-6-44,2024-049,Launch Complex 39A,True,2024-03-16T00:21:00Z,2024-03-15 22:39:00+00:00,2024-03-16 02:39:00+00:00
Falcon 9 Block 5 | Dragon CRS-2 SpX-30,falcon-9-block-5-dragon-crs-2-spx-30,2024-054,Space Launch Complex 40,True,2024-03-21T20:55:09Z,2024-03-21 20:55:09+00:00,2024-03-21 20:55:09+00:00
Falcon 9 Block 5 | Starlink Group 6-42,falcon-9-block-5-starlink-group-6-42,2024-056,Launch Complex 39A,True,2024-03-24T03:09:00Z,2024-03-23 23:29:00+00:00,2024-03-24 03:29:00+00:00
Falcon 9 Block 5 | Starlink Group 6-46,falcon-9-block-5-starlink-group-6-46,2024-057,Space Launch Complex 40,True,2024-03-25T23:42:00Z,2024-03-25 21:52:00+00:00,2024-03-26 01:00:00+00:00
Falcon 9 Block 5 | Eutelsat 36D,falcon-9-block-5-eutelsat-36d,2024-059,Launch Complex 39A,True,2024-03-30T21:52:00Z,2024-03-30 21:52:00+00:00,2024-03-31 01:50:00+00:00
Falcon 9 Block 5 | Starlink Group 6-45,falcon-9-block-5-starlink-group-6-45,2024-060,Space Launch Complex 40,True,2024-03-31T01:30:00Z,2024-03-31 01:02:00+00:00,2024-03-31 02:00:00+00:00
Falcon 9 Block 5 | Starlink Group 6-47,falcon-9-block-5-starlink-group-6-47,2024-064,Space Launch Complex 40,True,2024-04-05T09:12:00Z,2024-04-05 06:14:00+00:00,2024-04-05 10:14:00+00:00
Falcon 9 Block 5 | Bandwagon 1 (Dedicated Mid-Inclination Rideshare),falcon-9-block-5-bandwagon-1-dedicated-mid-inclina,2024-066,Launch Complex 39A,True,2024-04-07T23:16:57Z,2024-04-07 23:16:57+00:00,2024-04-07 23:16:57+00:00
Delta IV Heavy | NROL-70,delta-iv-heavy-nrol-70,2024-067,Space Launch Complex 40,True,2024-04-09T16:53:00Z,2024-04-09 16:53:00+00:00,2024-04-09 22:51:00+00:00
Falcon 9 Block 5 | Starlink Group 6-48,falcon-9-block-5-starlink-group-6-48,2024-068,Space Launch Complex 40,True,2024-04-10T05:40:00Z,2024-04-10 04:04:00+00:00,2024-04-10 07:30:00+00:00
Falcon 9 Block 5 | Starlink Group 6-49,falcon-9-block-5-starlink-group-6-49,2024-071,Space Launch Complex 40,True,2024-04-13T01:40:00Z,2024-04-13 01:22:00+00:00,2024-04-13 04:48:00+00:00
Falcon 9 Block 5 | Starlink Group 6-51,falcon-9-block-5-starlink-group-6-51,2024-073,Launch Complex 39A,True,2024-04-17T21:26:00Z,2024-04-17 21:26:00+00:00,2024-04-18 01:24:00+00:00
Falcon 9 Block 5 | Starlink Group 6-52,falcon-9-block-5-starlink-group-6-52,2024-074,Space Launch Complex 40,True,2024-04-18T22:40:00Z,2024-04-18 22:40:00+00:00,2024-04-19 02:40:00+00:00
Falcon 9 Block 5 | Starlink Group 6-53,falcon-9-block-5-starlink-group-6-53,2024-076,Space Launch Complex 40,True,2024-04-23T22:17:00Z,2024-04-23 22:17:00+00:00,2024-04-24 01:25:00+00:00
Falcon 9 Block 5 | Galileo L12 (FOC FM25 & FM27),falcon-9-block-5-galileo-l12-foc-fm25-fm27,2024-079,Launch Complex 39A,True,2024-04-28T00:34:00Z,2024-04-28 00:34:00+00:00,2024-04-28 00:34:00+00:00
Falcon 9 Block 5 | Starlink Group 6-54,falcon-9-block-5-starlink-group-6-54,2024-080,Space Launch Complex 40,True,2024-04-28T22:08:00Z,2024-04-28 22:08:00+00:00,2024-04-29 01:48:00+00:00
Falcon 9 Block 5 | Starlink Group 6-55,falcon-9-block-5-starlink-group-6-55,2024-082,Space Launch Complex 37B,True,2024-05-03T02:37:00Z,2024-05-03 01:49:00+00:00,2024-05-03 05:17:00+00:00
Falcon 9 Block 5 | Starlink Group 6-57,falcon-9-block-5-starlink-group-6-57,2024-084,Space Launch Complex 40,True,2024-05-06T18:14:00Z,2024-05-06 16:36:00+00:00,2024-05-06 18:48:00+00:00
Falcon 9 Block 5 | Starlink Group 6-56,falcon-9-block-5-starlink-group-6-56,2024-086,Launch Complex 39A,True,2024-05-08T18:42:00Z,2024-05-08 15:00:00+00:00,2024-05-08 18:42:00+00:00
Falcon 9 Block 5 | Starlink Group 6-58,falcon-9-block-5-starlink-group-6-58,2024-090,Space Launch Complex 41,True,2024-05-13T00:53:00Z,2024-05-13 00:53:00+00:00,2024-05-13 04:11:00+00:00
Falcon 9 Block 5 | Starlink Group 6-59,falcon-9-block-5-starlink-group-6-59,2024-093,Space Launch Complex 40,True,2024-05-18T00:32:00Z,2024-05-18 00:32:00+00:00,2024-05-18 03:30:00+00:00
Falcon 9 Block 5 | Starlink Group 6-62,falcon-9-block-5-starlink-group-6-62,2024-097,Space Launch Complex 40,True,2024-05-23T02:35:00Z,2024-05-23 02:35:00+00:00,2024-05-23 06:31:00+00:00
Falcon 9 Block 5 | Starlink Group 6-63,falcon-9-block-5-starlink-group-6-63,2024-098,Launch Complex 39A,True,2024-05-24T02:45:00Z,2024-05-23 22:45:00+00:00,2024-05-24 02:45:00+00:00
Falcon 9 Block 5 | Starlink Group 6-60,falcon-9-block-5-starlink-group-6-60,2024-100,Rocket Lab Launch Complex 1A,True,2024-05-28T14:24:00Z,2024-05-28 11:30:00+00:00,2024-05-28 15:28:00+00:00
Falcon 9 Block 5 | Starlink Group 6-64,falcon-9-block-5-starlink-group-6-64,2024-106,Space Launch Complex 40,True,2024-06-01T02:37:00Z,2024-05-31 22:47:00+00:00,2024-06-01 02:37:00+00:00
Falcon 9 Block 5 | Starlink Group 8-5,falcon-9-block-5-starlink-group-8-5,2024-107,Space Launch Complex 40,True,2024-06-05T02:16:00Z,2024-06-05 02:16:00+00:00,2024-06-05 02:16:00+00:00
Atlas V N22 | CST-100 Starliner Crewed Flight Test,atlas-v-n22-cst-100-starliner-crewed-flight-test,2024-109,Space Launch Complex 41,True,2024-06-05T14:52:15Z,2024-06-05 14:52:15+00:00,2024-06-05 14:52:15+00:00
Falcon 9 Block 5 | Starlink Group 10-1,falcon-9-block-5-starlink-group-10-1,2024-111,Space Launch Complex 40,True,2024-06-08T01:56:00Z,2024-06-08 00:00:00+00:00,2024-06-08 02:10:00+00:00
Falcon 9 Block 5 | Astra 1P/SES-24,falcon-9-block-5-astra-1pses-24,2024-115,Space Launch Complex 40,True,2024-06-20T21:35:00Z,2024-06-20 21:35:00+00:00,2024-06-21 00:24:00+00:00
Falcon 9 Block 5 | Starlink Group 10-2,falcon-9-block-5-starlink-group-10-2,2024-117,Space Launch Complex 40,True,2024-06-23T17:15:00Z,2024-06-23 17:15:00+00:00,2024-06-23 21:01:00+00:00
Falcon Heavy | GOES-U,falcon-heavy-goes-u,2024-119,Launch Complex 39A,True,2024-06-25T21:26:00Z,2024-06-25 21:16:00+00:00,2024-06-25 23:16:00+00:00
Falcon 9 Block 5 | Starlink Group 10-3,falcon-9-block-5-starlink-group-10-3,2024-120,Space Launch Complex 40,True,2024-06-27T11:14:00Z,2024-06-27 11:14:00+00:00,2024-06-27 15:00:00+00:00
Falcon 9 Block 5 | Starlink Group 8-9,falcon-9-block-5-starlink-group-8-9,2024-124,Space Launch Complex 41,True,2024-07-03T08:55:00Z,2024-07-03 06:57:00+00:00,2024-07-03 09:59:00+00:00
Falcon 9 Block 5 | Türksat 6A,falcon-9-block-5-turksat-6a,2024-127,Space Launch Complex 41,True,2024-07-08T23:30:00Z,2024-07-08 21:21:00+00:00,2024-07-09 01:21:00+00:00
Falcon 9 Block 5 | Starlink Group 10-9,falcon-9-block-5-starlink-group-10-9,2024-131,Launch Complex 39A,True,2024-07-27T05:45:00Z,2024-07-27 04:21:00+00:00,2024-07-27 08:21:00+00:00
Falcon 9 Block 5 | Starlink Group 10-4,falcon-9-block-5-starlink-group-10-4,2024-132,Space Launch Complex 40,True,2024-07-28T05:09:00Z,2024-07-28 04:17:00+00:00,2024-07-28 08:01:00+00:00
Atlas V 551 | USSF-51,atlas-v-551-ussf-51,2024-134,Space Launch Complex 40,True,2024-07-30T10:45:00Z,2024-07-30 10:45:00+00:00,2024-07-30 15:45:00+00:00
Falcon 9 Block 5 | Starlink Group 10-6,falcon-9-block-5-starlink-group-10-6,2024-136,Launch Complex 39A,True,2024-08-02T05:01:00Z,2024-08-02 04:19:00+00:00,2024-08-02 08:19:00+00:00
Falcon 9 Block 5 | Cygnus CRS-2 NG-21 (S.S. Francis R. “Dick” Scobee),falcon-9-block-5-cygnus-crs-2-ng-21-ss-francis-r-d,2024-139,Space Launch Complex 41,True,2024-08-04T15:02:53Z,2024-08-04 15:02:53+00:00,2024-08-04 15:02:53+00:00
Falcon 9 Block 5 | Starlink Group 8-3,falcon-9-block-5-starlink-group-8-3,2024-141,Space Launch Complex 40,True,2024-08-10T12:50:00Z,2024-08-10 12:00:00+00:00,2024-08-10 14:48:00+00:00
Electron | A Sky Full of SARs (Capella Acadia 3),electron-a-sky-full-of-sars-capella-acadia-3,2024-142,Space Launch Complex 40,True,2024-08-11T13:18:00Z,2024-08-11 11:23:00+00:00,2024-08-11 14:00:00+00:00
Falcon 9 Block 5 | Starlink Group 10-7,falcon-9-block-5-starlink-group-10-7,2024-144,Launch Complex 39A,True,2024-08-12T10:37:00Z,2024-08-12 10:37:00+00:00,2024-08-12 13:49:00+00:00
Falcon 9 Block 5 | WorldView Legion 3 & 4,falcon-9-block-5-worldview-legion-3-4,2024-146,Space Launch Complex 41,True,2024-08-15T13:00:00Z,2024-08-15 13:00:00+00:00,2024-08-15 14:00:00+00:00
Falcon 9 Block 5 | Starlink Group 10-5,falcon-9-block-5-starlink-group-10-5,2024-150,Space Launch Complex 40,True,2024-08-20T13:20:00Z,2024-08-20 09:36:00+00:00,2024-08-20 13:20:00+00:00
Falcon 9 Block 5 | Starlink Group 8-6,falcon-9-block-5-starlink-group-8-6,2024-152,Space Launch Complex 40,True,2024-08-28T07:48:00Z,2024-08-28 05:50:00+00:00,2024-08-28 09:50:00+00:00
Falcon 9 Block 5 | Starlink Group 8-10,falcon-9-block-5-starlink-group-8-10,2024-154,Space Launch Complex 40,True,2024-08-31T07:43:00Z,2024-08-31 05:39:00+00:00,2024-08-31 09:39:00+00:00
Falcon 9 Block 5 | Starlink Group 8-11,falcon-9-block-5-starlink-group-8-11,2024-158,Cape Canaveral,True,2024-09-05T15:33:00Z,2024-09-05 12:35:00+00:00,2024-09-05 16:31:00+00:00
Falcon 9 Block 5 | Polaris Dawn,falcon-9-block-5-polaris-dawn,2024-161,Launch Complex 39A,True,2024-09-10T09:23:49Z,2024-09-10 07:38:00+00:00,2024-09-10 11:09:00+00:00
Falcon 9 Block 5 | BlueBird Block 1,falcon-9-block-5-bluebird-block-1,2024-163,Space Launch Complex 37B,True,2024-09-12T08:52:00Z,2024-09-12 08:52:00+00:00,2024-09-12 12:52:00+00:00
Falcon 9 Block 5 | Galileo L13 (FOC FM26 & FM32),falcon-9-block-5-galileo-l13-foc-fm26-fm32,2024-167,Space Launch Complex 41,True,2024-09-17T22:50:49Z,2024-09-17 22:50:49+00:00,2024-09-17 22:50:49+00:00
Falcon 9 Block 5 | Crew-9,falcon-9-block-5-crew-9,2024-178,Space Launch Complex 40,True,2024-09-28T17:17:21Z,2024-09-28 17:17:21+00:00,2024-09-28 17:17:21+00:00
Vulcan VC2S | Certification Flight 2,vulcan-vc2s-certification-flight-2,2024-179,Space Launch Complex 40,True,2024-10-04T11:25:00Z,2024-10-04 10:00:00+00:00,2024-10-04 13:00:00+00:00
Falcon 9 Block 5 | Hera,falcon-9-block-5-hera,2024-180,Space Launch Complex 46,True,2024-10-07T14:52:11Z,2024-10-07 14:52:11+00:00,2024-10-07 14:52:11+00:00
Falcon Heavy | Europa Clipper,falcon-heavy-europa-clipper,2024-182,Launch Complex 39A,True,2024-10-14T16:06:00Z,2024-10-14 16:05:45+00:00,2024-10-14 16:06:00+00:00
Falcon 9 Block 5 | Starlink Group 10-10,falcon-9-block-5-starlink-group-10-10,2024-183,Space Launch Complex 40,True,2024-10-15T06:10:00Z,2024-10-15 05:34:00+00:00,2024-10-15 09:22:00+00:00
Falcon 9 Block 5 | Starlink Group 8-19,falcon-9-block-5-starlink-group-8-19,2024-187,Space Launch Complex 40,True,2024-10-18T23:31:00Z,2024-10-18 19:31:00+00:00,2024-10-18 23:31:00+00:00
Falcon 9 Block 5 | Starlink Group 6-61,falcon-9-block-5-starlink-group-6-61,2024-191,Space Launch Complex 37B,True,2024-10-23T21:47:00Z,2024-10-23 21:47:00+00:00,2024-10-24 01:23:00+00:00
Falcon 9 Block 5 | Starlink Group 10-8,falcon-9-block-5-starlink-group-10-8,2024-193,Space Launch Complex 40,True,2024-10-26T21:47:00Z,2024-10-26 21:47:00+00:00,2024-10-27 01:47:00+00:00
Falcon 9 Block 5 | Starlink Group 10-13,falcon-9-block-5-starlink-group-10-13,2024-196,Space Launch Complex 40,True,2024-10-30T21:10:00Z,2024-10-30 21:10:00+00:00,2024-10-31 01:08:00+00:00
Falcon 9 Block 5 | Dragon CRS-2 SpX-31,falcon-9-block-5-dragon-crs-2-spx-31,2024-200,Launch Complex 39A,True,2024-11-05T02:29:31Z,2024-11-05 02:29:31+00:00,2024-11-05 02:29:31+00:00
Falcon 9 Block 5 | Starlink Group 6-77,falcon-9-block-5-starlink-group-6-77,2024-202,Space Launch Complex 40,True,2024-11-07T20:19:00Z,2024-11-07 20:13:00+00:00,2024-11-08 00:09:00+00:00
Falcon 9 Block 5 | Koreasat 6A,falcon-9-block-5-koreasat-6a,2024-206,Launch Complex 39A,True,2024-11-11T17:22:00Z,2024-11-11 17:07:00+00:00,2024-11-11 21:07:00+00:00
Falcon 9 Block 5 | Starlink Group 6-69,falcon-9-block-5-starlink-group-6-69,2024-207,Space Launch Complex 41,True,2024-11-11T21:28:00Z,2024-11-11 21:02:00+00:00,2024-11-12 00:44:00+00:00
Falcon 9 Block 5 | Starlink Group 6-68,falcon-9-block-5-starlink-group-6-68,2024-210,Space Launch Complex 40,True,2024-11-14T13:21:00Z,2024-11-14 10:33:00+00:00,2024-11-14 14:33:00+00:00
Falcon 9 Block 5 | Optus-X/TD7,falcon-9-block-5-optus-xtd7,2024-212,Launch Complex 39A,True,2024-11-17T22:28:00Z,2024-11-17 21:29:00+00:00,2024-11-17 23:27:00+00:00
Falcon 9 Block 5 | GSAT-20 (GSAT-N2),falcon-9-block-5-gsat-20-gsat-n2,2024-214,Space Launch Complex 37B,True,2024-11-18T18:31:00Z,2024-11-18 18:31:00+00:00,2024-11-18 20:20:00+00:00
Falcon 9 Block 5 | Starlink Group 6-66,falcon-9-block-5-starlink-group-6-66,2024-216,Space Launch Complex 40,True,2024-11-21T16:07:50Z,2024-11-21 16:07:50+00:00,2024-11-21 19:49:00+00:00
Falcon 9 Block 5 | Starlink Group 12-1,falcon-9-block-5-starlink-group-12-1,2024-220,Space Launch Complex 40,True,2024-11-25T10:02:20Z,2024-11-25 09:32:00+00:00,2024-11-25 13:32:00+00:00
Falcon 9 Block 5 | Starlink Group 6-76,falcon-9-block-5-starlink-group-6-76,2024-222,Launch Complex 39A,True,2024-11-27T04:41:30Z,2024-11-27 03:05:00+00:00,2024-11-27 06:30:00+00:00
Falcon 9 Block 5 | Starlink Group 6-65,falcon-9-block-5-starlink-group-6-65,2024-224,Space Launch Complex 40,True,2024-11-30T05:00:00Z,2024-11-30 05:00:00+00:00,2024-11-30 09:00:00+00:00
Falcon 9 Block 5 | Starlink Group 6-70,falcon-9-block-5-starlink-group-6-70,2024-229,Space Launch Complex 40,True,2024-12-04T10:13:10Z,2024-12-04 08:29:00+00:00,2024-12-04 12:29:00+00:00
Falcon 9 Block 5 | Sirius SXM-9,falcon-9-block-5-sirius-sxm-9,2024-234,Launch Complex 39A,True,2024-12-05T16:10:00Z,2024-12-05 16:10:00+00:00,2024-12-05 17:40:00+00:00
Falcon 9 Block 5 | Starlink Group 12-5,falcon-9-block-5-starlink-group-12-5,2024-237,Space Launch Complex 40,True,2024-12-08T05:12:30Z,2024-12-08 05:12:30+00:00,2024-12-08 09:02:20+00:00
Falcon 9 Block 5 | GPS III SV07 (RRT-1),falcon-9-block-5-gps-iii-sv07-rrt-1,2024-242,Space Launch Complex 41,True,2024-12-17T00:52:00Z,2024-12-17 00:52:00+00:00,2024-12-17 00:52:00+00:00
Falcon 9 Block 5 | O3b mPower 7 & 8,falcon-9-block-5-o3b-mpower-7-8,2024-244,Launch Complex 39A,True,2024-12-17T22:26:00Z,2024-12-17 20:59:00+00:00,2024-12-17 22:26:00+00:00
Falcon 9 Block 5 | Starlink Group 12-2,falcon-9-block-5-starlink-group-12-2,2024-249,Launch Complex 39A,True,2024-12-23T05:35:30Z,2024-12-23 05:35:30+00:00,2024-12-23 08:21:20+00:00
Falcon 9 Block 5 | Astranis: From One to Many (4x Astranis MicroGEO),falcon-9-block-5-astranis-from-one-to-many-4x-astr,2024-252,Space Launch Complex 40,True,2024-12-29T05:00:00Z,2024-12-29 05:00:00+00:00,2024-12-29 07:30:00+00:00
Falcon 9 Block 5 | Starlink Group 12-6,falcon-9-block-5-starlink-group-12-6,2024-254,Launch Complex 39A,True,2024-12-31T05:39:10Z,2024-12-31 05:39:10+00:00,2024-12-31 06:28:10+00:00
Falcon 9 Block 5 | Thuraya 4-NGS,falcon-9-block-5-thuraya-4-ngs,2025-001,Space Launch Complex 40,True,2025-01-04T01:27:00Z,2025-01-04 01:27:00+00:00,2025-01-04 05:27:00+00:00
Falcon 9 Block 5 | Starlink Group 6-71,falcon-9-block-5-starlink-group-6-71,2025-003,Space Launch Complex 41,True,2025-01-06T20:43:59Z,2025-01-06 16:44:00+00:00,2025-01-06 21:15:00+00:00
Falcon 9 Block 5 | Starlink Group 12-11,falcon-9-block-5-starlink-group-12-11,2025-004,Launch Complex 39A,True,2025-01-08T15:27:00Z,2025-01-08 15:27:00+00:00,2025-01-08 19:17:59+00:00
Falcon 9 Block 5 | Starlink Group 12-12,falcon-9-block-5-starlink-group-12-12,2025-006,Space Launch Complex 40,True,2025-01-10T19:11:20Z,2025-01-10 15:27:00+00:00,2025-01-10 19:15:09+00:00
Falcon 9 Block 5 | Starlink Group 12-4,falcon-9-block-5-starlink-group-12-4,2025-008,Space Launch Complex 41,True,2025-01-13T16:47:09Z,2025-01-13 14:59:00+00:00,2025-01-13 18:45:00+00:00
Falcon 9 Block 5 | Blue Ghost Lunar Lander Mission 1 & Hakuto-R M2 “Resilience”,falcon-9-block-5-blue-ghost-lunar-lander-mission-1,2025-010,Launch Complex 39A,True,2025-01-15T06:11:39Z,2025-01-15 06:06:00+00:00,2025-01-15 06:45:00+00:00
New Glenn | Maiden Flight,new-glenn-maiden-flight,2025-011,Space Launch Complex 40,True,2025-01-16T07:03:00Z,2025-01-16 06:00:00+00:00,2025-01-16 09:00:00+00:00
Falcon 9 Block 5 | Starlink Group 13-1,falcon-9-block-5-starlink-group-13-1,2025-014,Launch Complex 39A,True,2025-01-21T05:24:50Z,2025-01-21 05:24:50+00:00,2025-01-21 09:11:49+00:00
Falcon 9 Block 5 | Starlink Group 12-7,falcon-9-block-5-starlink-group-12-7,2025-019,Space Launch Complex 40,True,2025-01-27T22:05:00Z,2025-01-27 20:22:40+00:00,2025-01-27 23:21:00+00:00
Falcon 9 Block 5 | SpainSat NG I,falcon-9-block-5-spainsat-ng-i,2025-021,Launch Complex 39A,True,2025-01-30T01:34:00Z,2025-01-30 01:34:00+00:00,2025-01-30 03:34:00+00:00
Falcon 9 Block 5 | Starlink Group 12-3,falcon-9-block-5-starlink-group-12-3,2025-024,Space Launch Complex 41,True,2025-02-04T10:15:00Z,2025-02-04 08:27:10+00:00,2025-02-04 11:24:19+00:00
Falcon 9 Block 5 | WorldView Legion 5 & 6,falcon-9-block-5-worldview-legion-5-6,2025-025,Launch Complex 39A,True,2025-02-04T23:13:00Z,2025-02-04 23:07:00+00:00,2025-02-05 00:07:00+00:00
Falcon 9 Block 5 | Starlink Group 12-9,falcon-9-block-5-starlink-group-12-9,2025-027,Space Launch Complex 46,True,2025-02-08T19:18:30Z,2025-02-08 18:23:00+00:00,2025-02-08 22:08:00+00:00
Falcon 9 Block 5 | Starlink Group 12-18,falcon-9-block-5-starlink-group-12-18,2025-031,Space Launch Complex 41,True,2025-02-11T18:53:20Z,2025-02-11 18:53:20+00:00,2025-02-11 20:44:29+00:00
Falcon 9 Block 5 | Starlink Group 12-8,falcon-9-block-5-starlink-group-12-8,2025-032,Space Launch Complex 41,True,2025-02-15T06:14:10Z,2025-02-15 06:14:10+00:00,2025-02-15 07:15:59+00:00
Falcon 9 Block 5 | Starlink Group 10-12,falcon-9-block-5-starlink-group-10-12,2025-034,Space Launch Complex 37B,True,2025-02-18T23:21:50Z,2025-02-18 23:15:10+00:00,2025-02-19 02:35:30+00:00
Falcon 9 Block 5 | Starlink Group 12-14,falcon-9-block-5-starlink-group-12-14,2025-035,Space Launch Complex 41,True,2025-02-21T15:19:00Z,2025-02-21 11:40:00+00:00,2025-02-21 15:25:39+00:00
Falcon 9 Block 5 | Nova-C IM-2 & Others,falcon-9-block-5-nova-c-im-2-others,2025-038,Launch Complex 39A,True,2025-02-27T00:16:30Z,2025-02-27 00:16:30+00:00,2025-02-27 00:16:30+00:00
Falcon 9 Block 5 | Starlink Group 12-13,falcon-9-block-5-starlink-group-12-13,2025-039,Space Launch Complex 41,True,2025-02-27T03:34:20Z,2025-02-27 03:34:00+00:00,2025-02-27 07:34:00+00:00
Falcon 9 Block 5 | Starlink Group 12-20,falcon-9-block-5-starlink-group-12-20,2025-043,Cape Canaveral,True,2025-03-03T02:24:00Z,2025-03-03 02:24:00+00:00,2025-03-03 05:21:20+00:00
Falcon 9 Block 5 | Starlink Group 12-21,falcon-9-block-5-starlink-group-12-21,2025-048,Space Launch Complex 37B,True,2025-03-13T02:35:30Z,2025-03-13 02:20:00+00:00,2025-03-13 06:51:00+00:00
Falcon 9 Block 5 | Crew-10,falcon-9-block-5-crew-10,2025-049,Launch Complex 39A,True,2025-03-14T23:03:48Z,2025-03-14 23:03:48+00:00,2025-03-14 23:03:48+00:00
