event_id,launch_designator,mission,pad
ksc-81adb5459329,2022-002,Falcon 9 Block 5 | Transporter 3 (Dedicated SSO Rideshare),SLC-40
ksc-4db95ced2e9a,2022-005,Falcon 9 Block 5 | Starlink Group 4-6,SLC-39A
ksc-23bd31cf046c,2022-006,Atlas V 511 | USSF-8,SLC-41
ksc-233d205c5d9f,2022-008,Falcon 9 Block 5 | CSG-2,SLC-40
ksc-25409c9457ca,2022-010,Falcon 9 Block 5 | Starlink Group 4-7,SLC-39A
ksc-0d3cc1263a3f,,Astra Rocket 3 | ELaNa 41,SLC-46
ksc-4ceaf81d48ed,2022-016,Falcon 9 Block 5 | Starlink Group 4-8,SLC-40
ksc-54e1b5835b97,2022-021,Atlas V 541 | GOES-T,SLC-41
ksc-547348d6fab4,2022-022,Falcon 9 Block 5 | Starlink Group 4-9,SLC-39A
ksc-a67a35637fdf,2022-025,Falcon 9 Block 5 | Starlink Group 4-10,SLC-40
ksc-e14974f20b94,2022-029,Falcon 9 Block 5 | Starlink Group 4-12,SLC-40
ksc-f4123d3f4c82,2022-033,Falcon 9 Block 5 | Transporter 4 (Dedicated SSO Rideshare),SLC-40
ksc-09931fc24769,2022-037,Falcon 9 Block 5 | Axiom Space Mission 1,SLC-39A
ksc-f54c4879ff19,2022-041,Falcon 9 Block 5 | Starlink Group 4-14,SLC-40
ksc-0b8ca18bdd83,2022-042,Falcon 9 Block 5 | Crew-4,SLC-39A
ksc-b39a90b80b5b,2022-045,Falcon 9 Block 5 | Starlink Group 4-16,SLC-40
ksc-860de573e37a,2022-049,Falcon 9 Block 5 | Starlink Group 4-17,SLC-39A
ksc-0a8dfa9a58b8,2022-052,Falcon 9 Block 5 | Starlink Group 4-15,SLC-40
ksc-efebd68de0e8,2022-053,Falcon 9 Block 5 | Starlink Group 4-18,SLC-39A
ksc-13427e3ad196,2022-055,Atlas V N22 | CST-100 Starliner Orbital Flight Test 2 (OFT-2),SLC-41
ksc-3b5dc9b76e9f,2022-057,Falcon 9 Block 5 | Transporter 5 (Dedicated SSO Rideshare),SLC-40
ksc-47ddc5dcc2ee,2022-061,Falcon 9 Block 5 | Nilesat-301,SLC-40
ksc-0e38323a1a3f,,Astra Rocket 3 | TROPICS-1,SLC-46
ksc-226081ffb04d,2022-062,Falcon 9 Block 5 | Starlink Group 4-19,SLC-39A
ksc-6e9baa7ab501,2022-064,Falcon 9 Block 5 | Globalstar-2 FM15 & USA 328-331,SLC-40
ksc-231b1ca0daf5,2022-071,Falcon 9 Block 5 | SES-22,SLC-40
ksc-64ebedc725ef,2022-073,Atlas V 541 | USSF-12,SLC-41
ksc-eede73975211,2022-076,Falcon 9 Block 5 | Starlink Group 4-21,SLC-40
ksc-980f8417038b,2022-081,Falcon 9 Block 5 | Dragon CRS-2 SpX-25,SLC-39A
ksc-18c01cb90d94,2022-083,Falcon 9 Block 5 | Starlink Group 4-22,SLC-40
ksc-6dff4f421698,2022-086,Falcon 9 Block 5 | Starlink Group 4-25,SLC-39A
ksc-a2c8e9593093,2022-092,Atlas V 421 | SBIRS GEO-6,SLC-41
ksc-222b4cc6c7eb,2022-094,Falcon 9 Block 5 | Danuri (KPLO - Korean Pathfinder Lunar Orbiter),SLC-40
ksc-2cd2950ed64a,2022-097,Falcon 9 Block 5 | Starlink Group 4-26,SLC-39A
ksc-8c24086cda76,2022-101,Falcon 9 Block 5 | Starlink Group 4-27,SLC-40
ksc-8e55973ad427,2022-104,Falcon 9 Block 5 | Starlink Group 4-23,SLC-40
ksc-a2436c68e731,2022-107,Falcon 9 Block 5 | Starlink Group 4-20 & Varuna-TDM,SLC-40
ksc-fd77878baff5,2022-111,Falcon 9 Block 5 | Starlink Group 4-2 & BlueWalker 3,SLC-39A
ksc-0fd2b272469d,2022-114,Falcon 9 Block 5 | Starlink Group 4-34,SLC-40
ksc-cb481541ac0d,2022-119,Falcon 9 Block 5 | Starlink Group 4-35,SLC-40
ksc-32f523625483,2022-123,Atlas V 531 | SES-20 & SES-21,SLC-41
ksc-40e8954489f9,2022-124,Falcon 9 Block 5 | Crew-5,SLC-39A
ksc-57b01b71602e,2022-128,Falcon 9 Block 5 | Galaxy 33 & 34,SLC-40
ksc-fcbcd53684b1,2022-134,Falcon 9 Block 5 | Hotbird 13F,SLC-40
ksc-06d3962205c6,2022-136,Falcon 9 Block 5 | Starlink Group 4-36,SLC-40
ksc-b44d7abdc59d,2022-144,Falcon Heavy | USSF-44,SLC-39A
ksc-ebedb667c751,2022-146,Falcon 9 Block 5 | Hotbird 13G,SLC-40
ksc-877bad0d8813,2022-153,Falcon 9 Block 5 | Galaxy 31 & 32,SLC-40
ksc-62c93f9515cb,2022-156,SLS Block 1 | Artemis I,SLC-39B
ksc-4c6b39701ae5,2022-157,Falcon 9 Block 5 | Eutelsat 10B,SLC-40
ksc-36b0c3a78b44,2022-159,Falcon 9 Block 5 | Dragon CRS-2 SpX-26,SLC-39A
ksc-3a91a200c9ef,2022-166,Falcon 9 Block 5 | OneWeb 15,SLC-39A
ksc-7a85835a744e,2022-168,Falcon 9 Block 5 | Hakuto-R M1 & Lunar Flashlight,SLC-40
ksc-e68ec2e52520,2022-174,Falcon 9 Block 5 | O3b mPower 1 & 2,SLC-40
ksc-3a666a7cef93,2022-175,Falcon 9 Block 5 | Starlink Group 4-37,SLC-39A
ksc-0cab05211d45,2022-177,Falcon 9 Block 5 | Starlink Group 5-1,SLC-40
