source,frequency_hz,amplitude_count_per_pa,phase_deg
event_stationxml,0.0095367431640625,3.5856645464269046,78.76269287332592
event_stationxml,0.02002716064453125,7.085108645100074,67.35252302867794
event_stationxml,0.049591064453125,13.221127193691188,44.065977732742105
event_stationxml,0.10013580322265625,16.592237231276556,25.610692270690144
event_stationxml,0.2002716064453125,17.893249705524635,13.478103230289257
event_stationxml,0.499725341796875,18.315705307716307,5.486587843692031
event_stationxml,1.0004043579101562,18.37885964729854,2.7469800769287076
event_stationxml,1.9998550415039062,18.394704957834833,1.3749348761965143
event_stationxml,5.000114440917969,18.399155446621513,0.5500101910312067
event_stationxml,10.000228881835938,18.3997914352898,0.2750114311041137
event_stationxml,20.000457763671875,18.399950375109526,0.13750650754167443
event_stationxml,50.00019073486328,18.399995229159728,0.055003740809130466
event_stationxml,79.99992370605469,18.399998953465044,0.03437750836516717
event_stationxml,100.00038146972656,18.40000001609614,0.027501876740949102
nrl_40vpp,0.0095367431640625,3.5856645464269046,78.76269287332592
nrl_40vpp,0.02002716064453125,7.085108645100074,67.35252302867794
nrl_40vpp,0.049591064453125,13.221127193691188,44.065977732742105
nrl_40vpp,0.10013580322265625,16.592237231276556,25.610692270690144
nrl_40vpp,0.2002716064453125,17.893249705524635,13.478103230289257
nrl_40vpp,0.499725341796875,18.315705307716307,5.486587843692031
nrl_40vpp,1.0004043579101562,18.37885964729854,2.7469800769287076
nrl_40vpp,1.9998550415039062,18.394704957834833,1.3749348761965143
nrl_40vpp,5.000114440917969,18.399155446621513,0.5500101910312067
nrl_40vpp,10.000228881835938,18.3997914352898,0.2750114311041137
nrl_40vpp,20.000457763671875,18.399950375109526,0.13750650754167443
nrl_40vpp,50.00019073486328,18.399995229159728,0.055003740809130466
nrl_40vpp,79.99992370605469,18.399998953465044,0.03437750836516717
nrl_40vpp,100.00038146972656,18.40000001609614,0.027501876740949102
nrl_1vpp,0.0095367431640625,143.4265818570762,78.76269287332592
nrl_1vpp,0.02002716064453125,283.404345804003,67.35252302867794
nrl_1vpp,0.049591064453125,528.8450877476475,44.0659777327421
nrl_1vpp,0.10013580322265625,663.6894892510624,25.61069227069014
nrl_1vpp,0.2002716064453125,715.7299882209854,13.478103230289257
nrl_1vpp,0.499725341796875,732.6282123086525,5.486587843692031
nrl_1vpp,1.0004043579101562,735.1543858919415,2.7469800769287076
nrl_1vpp,1.9998550415039062,735.7881983133934,1.3749348761965143
nrl_1vpp,5.000114440917969,735.9662178648605,0.5500101910312069
nrl_1vpp,10.000228881835938,735.9916574115922,0.2750114311041137
nrl_1vpp,20.000457763671875,735.9980150043812,0.13750650754167446
nrl_1vpp,50.00019073486328,735.9998091663892,0.055003740809130466
nrl_1vpp,79.99992370605469,735.9999581386019,0.03437750836516717
nrl_1vpp,100.00038146972656,736.0000006438457,0.027501876740949106
