id,network,station,location,channel,starttime,endtime,Fs,calib,units,quality,is_pressure,num_gaps,num_overlaps,lost_seconds,percent_availability,id_union_span_s,id_union_covered_s,id_segment_count,id_sampling_rates,sample_min,sample_max,sample_mean,sample_median,sample_rms,sample_stdev,skewness,kurtosis,abs_max,abs_max_time,abs_mean,abs_median,abs_rms,abs_stdev,energy,pap,pap_bp_1_20,sam_low_band,sam_high_band,sam_full_band,sam_stat,sam_log2,sam_values_low,sam_values_high,sam_values_full,sam_values_ratio,station_pgv_vec,station_pgd_vec,station_pga_vec,station_pap_med,station_pap_bp_1_20_med,station_num_seis_traces,station_num_infra_traces,station_pap,station_pap_bp_1_20,pgd,pgv,pga,fdom
1R.BCHH.00.DD1,1R,BCHH,00,DD1,2016-03-04T23:35:00.000000Z,2016-03-05T01:06:00.000000Z,250.0,1.0,Pa,,True,0,0,0.0,100.0,5580.0,5580.0,1,[250.0],-707.6435430311446,616.0768246621549,-1.3521644382754564e-15,0.010983176796278594,5.528357857475215,5.528357857475215,-2.0491573556604497,3554.0582978270468,707.6435430311446,2016-03-05T01:00:00.000000Z,1.8307280065204588,1.296807762141146,5.528357857475215,5.216433222657948,166872.68592864383,707.6435430311446,103.74301290636036,"[0.5, 2.0]","[2.0, 8.0]","[0.5, 8.0]",mean_abs,True,0.539310860264461,0.1427222027041296,0.5760724592897198,-1.9179072997366602,0.0021660848594767385,2.3625545884022848e-05,0.26158584489923065,608.4594397877696,100.31365424045214,3,3,608.4594397877696,100.31365424045214,,,,
1R.BCHH.00.DD2,1R,BCHH,00,DD2,2016-03-04T23:35:00.000000Z,2016-03-05T01:06:00.000000Z,250.0,1.0,Pa,,True,0,0,0.0,100.0,5580.0,5580.0,1,[250.0],-265.78519037784474,306.1842477074125,3.7882571217853534e-17,-1.0790381607580462e-05,1.824686417268081,1.824686417268081,6.20327183338139,10611.999586831811,306.1842477074125,2016-03-05T00:00:00.000000Z,0.13066993247985378,0.07449824745200267,1.824686417268081,1.8200016181609115,18178.97696456202,306.1842477074125,20.464508932556257,"[0.5, 2.0]","[2.0, 8.0]","[0.5, 8.0]",mean_abs,True,0.02472381316415598,0.016628005319078088,0.03113015520368739,-0.5722861532948174,0.0021660848594767385,2.3625545884022848e-05,0.26158584489923065,608.4594397877696,100.31365424045214,3,3,608.4594397877696,100.31365424045214,,,,
1R.BCHH.00.DD3,1R,BCHH,00,DD3,2016-03-04T23:35:00.000000Z,2016-03-05T01:06:00.000000Z,250.0,1.0,Pa,,True,0,0,0.0,100.0,5580.0,5580.0,1,[250.0],-531.6115667343979,608.4594397877696,1.223902458913325e-16,0.06143415218296799,4.921472417528195,4.921472417528195,3.7439679499106098,3000.7815475269704,608.4594397877696,2016-03-05T01:00:00.000000Z,1.3135581264802911,0.8539934117378241,4.921472417528195,4.742937465837853,132246.16041400286,608.4594397877696,100.31365424045214,"[0.5, 2.0]","[2.0, 8.0]","[0.5, 8.0]",mean_abs,True,0.47285484121071525,0.11117004784991359,0.5036094291198718,-2.088629227255445,0.0021660848594767385,2.3625545884022848e-05,0.26158584489923065,608.4594397877696,100.31365424045214,3,3,608.4594397877696,100.31365424045214,,,,
1R.BCHH.00.DHE,1R,BCHH,00,DHE,2016-03-04T23:35:00.000000Z,2016-03-05T01:06:00.000000Z,250.0,1.0,m/s,,False,0,0,0.0,100.0,5580.0,5580.0,1,[250.0],-0.0006095188544871706,0.000593457698112078,9.934541199869046e-22,-5.089432216875467e-09,9.588528761888426e-06,9.588528761888426e-06,-0.009087819806941762,783.5459998688033,0.0006095188544871706,2016-03-04T23:35:28.544000Z,2.459214783364172e-06,1.5853566897005422e-06,9.588528761888426e-06,9.267801598375135e-06,5.019921334034216e-07,,,"[0.5, 2.0]","[2.0, 8.0]","[0.5, 8.0]",mean_abs,True,6.832641016543769e-07,6.926626628708482e-07,1.0466111198827628e-06,0.019709578880968918,0.0021660848594767385,2.3625545884022848e-05,0.26158584489923065,608.4594397877696,100.31365424045214,3,3,608.4594397877696,100.31365424045214,7.243012578861786e-06,0.0006095188544871706,0.0799263143968505,0.4790763914654612
1R.BCHH.00.DHN,1R,BCHH,00,DHN,2016-03-04T23:35:00.000000Z,2016-03-05T01:06:00.000000Z,250.0,1.0,m/s,,False,0,0,0.0,100.0,5580.0,5580.0,1,[250.0],-0.0019428317049471231,0.002138403263961159,4.2343425254049075e-22,-2.2256259786913746e-11,2.8236302144848677e-05,2.8236302144848677e-05,-0.2822274572325071,986.4524204149545,0.002138403263961159,2016-03-04T23:35:28.092000Z,3.502330583533481e-06,1.6515691923068909e-06,2.8236302144848677e-05,2.801825189584161e-05,4.3531998122859505e-06,,,"[0.5, 2.0]","[2.0, 8.0]","[0.5, 8.0]",mean_abs,True,6.599403204101878e-07,9.188802499518617e-07,1.2211781781616085e-06,0.47754129441229093,0.0021660848594767385,2.3625545884022848e-05,0.26158584489923065,608.4594397877696,100.31365424045214,3,3,608.4594397877696,100.31365424045214,1.9689051825910375e-05,0.002138403263961159,0.2581361456102918,0.5882326232606394
1R.BCHH.00.DHZ,1R,BCHH,00,DHZ,2016-03-04T23:35:00.000000Z,2016-03-05T01:06:00.000000Z,250.0,1.0,m/s,,False,0,0,0.0,100.0,5580.0,5580.0,1,[250.0],-0.0016111098673524463,0.0017795405078842598,4.1294966778428275e-22,-3.5152704152286235e-09,2.511208256352134e-05,2.511208256352134e-05,0.06263540200686513,931.0287810320833,0.0017795405078842598,2016-03-04T23:35:25.864000Z,3.2293549032808934e-06,1.4530713639111304e-06,2.511208256352134e-05,2.4903573189118228e-05,3.4431696535637977e-06,,,"[0.5, 2.0]","[2.0, 8.0]","[0.5, 8.0]",mean_abs,True,4.24442624164106e-07,1.1705678395712515e-06,1.2685832294377242e-06,1.4635670977794457,0.0021660848594767385,2.3625545884022848e-05,0.26158584489923065,608.4594397877696,100.31365424045214,3,3,608.4594397877696,100.31365424045214,2.174815529072853e-05,0.0017795405078842598,0.2196650048619819,0.43757873169853523
1R.FIRE.00.DD1,1R,FIRE,00,DD1,2016-03-04T23:35:00.000000Z,2016-03-05T01:06:00.000000Z,250.0,1.0,Pa,,True,0,0,0.0,100.0,5580.0,5580.0,1,[250.0],-544.0186936796712,543.2236883363964,-6.215812887837706e-15,0.14831305600857886,15.709841745775037,15.709841745775037,-0.053062735460662966,103.4432473329309,544.0186936796712,2016-03-05T00:18:25.736000Z,11.804683919535488,11.86765847935066,15.709841745775037,10.365739975378329,1347524.2243145471,544.0186936796712,10.5668168603146,"[0.5, 2.0]","[2.0, 8.0]","[0.5, 8.0]",mean_abs,True,0.07078231498619901,0.26596024504633553,0.26431561014071697,1.9097497600192217,0.0005850403538955809,1.0124416505706484e-05,0.043180431526528895,5.4079069673982865,0.11737775792281127,3,3,5.4079069673982865,0.11737775792281127,,,,
1R.FIRE.00.DD2,1R,FIRE,00,DD2,2016-03-04T23:35:00.000000Z,2016-03-05T01:06:00.000000Z,250.0,1.0,Pa,,True,0,0,0.0,100.0,5580.0,5580.0,1,[250.0],-5.4079069673982865,5.392470674541188,4.494462556906086e-16,0.00022602037638520827,1.1459868725627045,1.1459868725627045,6.419203210508995e-05,-0.007893952395646942,5.4079069673982865,2016-03-05T01:02:02.768000Z,0.9147620328917767,0.7740411445540089,1.1459868725627045,0.6902871397221249,7170.546333133472,5.4079069673982865,0.11737775792281127,"[0.5, 2.0]","[2.0, 8.0]","[0.5, 8.0]",mean_abs,True,0.006990308741053414,0.011186182421130406,0.013208357776530052,0.6782896810442735,0.0005850403538955809,1.0124416505706484e-05,0.043180431526528895,5.4079069673982865,0.11737775792281127,3,3,5.4079069673982865,0.11737775792281127,,,,
1R.FIRE.00.DD3,1R,FIRE,00,DD3,2016-03-04T23:35:00.000000Z,2016-03-05T01:06:00.000000Z,250.0,1.0,Pa,,True,0,0,0.0,100.0,5580.0,5580.0,1,[250.0],-5.193929205881312,5.32218582711453,-3.451486464300015e-16,0.00011168470763977833,1.1428880580474934,1.1428880580474934,0.00012869574260038796,-0.010700569091278034,5.32218582711453,2016-03-05T00:48:25.568000Z,0.9119042824963868,0.7702496192232414,1.1428880580474934,0.6889293815713772,7131.819622994987,5.32218582711453,0.11357653878646827,"[0.5, 2.0]","[2.0, 8.0]","[0.5, 8.0]",mean_abs,True,0.00562396427722411,0.01037673491409899,0.011828171855498918,0.8836932289545159,0.0005850403538955809,1.0124416505706484e-05,0.043180431526528895,5.4079069673982865,0.11737775792281127,3,3,5.4079069673982865,0.11737775792281127,,,,
1R.FIRE.00.DHE,1R,FIRE,00,DHE,2016-03-04T23:35:00.000000Z,2016-03-05T01:06:00.000000Z,250.0,1.0,m/s,,False,0,0,0.0,100.0,5580.0,5580.0,1,[250.0],-0.0005402938949616818,0.00046262109647955056,-3.795896253781664e-22,-9.353406329211043e-09,1.1092379255366698e-05,1.1092379255366698e-05,-0.40644864911305395,401.69842621491887,0.0005402938949616818,2016-03-04T23:35:44.556000Z,2.3723641500172576e-06,1.2671941823655407e-06,1.1092379255366698e-05,1.0835717137531893e-05,6.718036835586067e-07,,,"[0.5, 2.0]","[2.0, 8.0]","[0.5, 8.0]",mean_abs,True,6.188685376709387e-07,6.111553970672992e-07,1.0572996313110397e-06,-0.01809372198742378,0.0005850403538955809,1.0124416505706484e-05,0.043180431526528895,5.4079069673982865,0.11737775792281127,3,3,5.4079069673982865,0.11737775792281127,9.283687857752393e-06,0.0005402938949616818,0.036911302481562304,0.3724604855601716
