launch_designator,window_start,window_end,name,SLC,success
2024-124,2024-07-03 06:57:00+00:00,2024-07-03 09:59:00+00:00,Falcon 9 Block 5 | Starlink Group 8-9,Space Launch Complex 40,True
2024-127,2024-07-08 21:21:00+00:00,2024-07-09 01:21:00+00:00,Falcon 9 Block 5 | Türksat 6A,Space Launch Complex 40,True
2024-131,2024-07-27 04:21:00+00:00,2024-07-27 08:21:00+00:00,Falcon 9 Block 5 | Starlink Group 10-9,Launch Complex 39A,True
2024-132,2024-07-28 04:17:00+00:00,2024-07-28 08:01:00+00:00,Falcon 9 Block 5 | Starlink Group 10-4,Space Launch Complex 40,True
2024-134,2024-07-30 10:45:00+00:00,2024-07-30 15:45:00+00:00,Atlas V 551 | USSF-51,Space Launch Complex 41,True
2024-136,2024-08-02 04:19:00+00:00,2024-08-02 08:19:00+00:00,Falcon 9 Block 5 | Starlink Group 10-6,Launch Complex 39A,True
2024-139,2024-08-04 15:02:53+00:00,2024-08-04 15:02:53+00:00,Falcon 9 Block 5 | Cygnus CRS-2 NG-21 (S.S. Francis R. “Dick” Scobee),Space Launch Complex 40,True
2024-141,2024-08-10 12:00:00+00:00,2024-08-10 14:48:00+00:00,Falcon 9 Block 5 | Starlink Group 8-3,Space Launch Complex 40,True
2024-142,2024-08-11 11:23:00+00:00,2024-08-11 14:00:00+00:00,Electron | A Sky Full of SARs (Capella Acadia 3),Rocket Lab Launch Complex 1B,True
2024-144,2024-08-12 10:37:00+00:00,2024-08-12 13:49:00+00:00,Falcon 9 Block 5 | Starlink Group 10-7,Launch Complex 39A,True
2024-146,2024-08-15 13:00:00+00:00,2024-08-15 14:00:00+00:00,Falcon 9 Block 5 | WorldView Legion 3 & 4,Space Launch Complex 40,True
2024-150,2024-08-20 09:36:00+00:00,2024-08-20 13:20:00+00:00,Falcon 9 Block 5 | Starlink Group 10-5,Space Launch Complex 40,True
2024-152,2024-08-28 05:50:00+00:00,2024-08-28 09:50:00+00:00,Falcon 9 Block 5 | Starlink Group 8-6,Space Launch Complex 40,True
2024-154,2024-08-31 05:39:00+00:00,2024-08-31 09:39:00+00:00,Falcon 9 Block 5 | Starlink Group 8-10,Space Launch Complex 40,True
2024-158,2024-09-05 12:35:00+00:00,2024-09-05 16:31:00+00:00,Falcon 9 Block 5 | Starlink Group 8-11,Space Launch Complex 40,True
