launch_designator,window_start,window_end,name,SLC,success
2019-056,2019-08-22 13:00:30+00:00,2019-08-22 13:27:00+00:00,"Delta IV M+(4,2) | GPS III SV02",Space Launch Complex 37B,True
2019-068,2019-10-11 01:30:00+00:00,2019-10-11 02:55:00+00:00,Pegasus XL | Ionospheric Connection Explorer (ICON),Cape Canaveral,True
2019-074,2019-11-11 14:50:00+00:00,2019-11-11 15:01:00+00:00,Falcon 9 Block 5 | Starlink 1,Space Launch Complex 40,True
2019-083,2019-12-05 17:29:24+00:00,2019-12-05 17:29:24+00:00,Falcon 9 Block 5 | SpX CRS-19,Space Launch Complex 40,True
2019-091,2019-12-17 00:10:00+00:00,2019-12-17 01:38:00+00:00,Falcon 9 Block 5 | JCSAT-18/KACIFIC-1,Space Launch Complex 40,True
2019-094,2019-12-20 11:36:43+00:00,2019-12-20 11:36:43+00:00,Atlas V N22 | CST-100 Starliner Orbital Flight Test,Space Launch Complex 41,True
2020-001,2020-01-07 02:19:21+00:00,2020-01-07 02:19:21+00:00,Falcon 9 Block 5 | Starlink 2,Space Launch Complex 40,True
,2020-01-19 13:00:00+00:00,2020-01-19 19:00:00+00:00,Falcon 9 Block 5 | Dragon In-Flight Abort Test,Launch Complex 39A,True
2020-006,2020-01-29 14:06:00+00:00,2020-01-29 14:06:00+00:00,Falcon 9 Block 5 | Starlink 3,Space Launch Complex 40,True
2020-010,2020-02-10 04:03:00+00:00,2020-02-10 06:03:00+00:00,Atlas V 411 | Solar Orbiter,Space Launch Complex 41,True
2020-012,2020-02-17 15:05:55+00:00,2020-02-17 15:05:55+00:00,Falcon 9 Block 5 | Starlink 4,Space Launch Complex 40,True
2020-016,2020-03-07 04:50:31+00:00,2020-03-07 04:50:31+00:00,Falcon 9 Block 5 | SpX CRS-20,Space Launch Complex 40,True
2020-019,2020-03-18 12:16:39+00:00,2020-03-18 12:16:39+00:00,Falcon 9 Block 5 | Starlink 5,Launch Complex 39A,True
2020-022,2020-03-26 18:57:00+00:00,2020-03-26 20:57:00+00:00,Atlas V 551 | AEHF-6,Space Launch Complex 41,True
2020-025,2020-04-22 19:30:00+00:00,2020-04-22 19:30:00+00:00,Falcon 9 Block 5 | Starlink 6,Launch Complex 39A,True
2020-029,2020-05-17 13:14:00+00:00,2020-05-17 15:02:00+00:00,Atlas V 501 | OTV-6 (X-37B) (USSF-7),Space Launch Complex 41,True
2020-033,2020-05-30 19:22:45+00:00,2020-05-30 19:22:45+00:00,Falcon 9 Block 5 | SpX-DM2 (Demonstration Mission 2),Launch Complex 39A,True
2020-035,2020-06-04 01:25:33+00:00,2020-06-04 01:25:33+00:00,Falcon 9 Block 5 | Starlink 7,Space Launch Complex 40,True
2020-038,2020-06-13 09:21:18+00:00,2020-06-13 09:21:18+00:00,Falcon 9 Block 5 | Starlink 8,Space Launch Complex 40,True
2020-041,2020-06-30 19:55:00+00:00,2020-06-30 20:10:46+00:00,Falcon 9 Block 5 | GPS III SV03,Space Launch Complex 40,True
2020-048,2020-07-20 21:00:00+00:00,2020-07-21 00:55:00+00:00,Falcon 9 Block 5 | ANASIS-II,Space Launch Complex 40,True
2020-052,2020-07-30 11:50:00+00:00,2020-07-30 13:50:00+00:00,Atlas V 541 | Mars 2020 (Perseverance rover & Ingenuity helicopter),Space Launch Complex 41,True
2020-055,2020-08-07 05:12:00+00:00,2020-08-07 05:12:00+00:00,Falcon 9 Block 5 | Starlink 9,Launch Complex 39A,True
2020-057,2020-08-18 14:31:00+00:00,2020-08-18 14:31:00+00:00,Falcon 9 Block 5 | Starlink 10,Space Launch Complex 40,True
2020-059,2020-08-30 23:18:00+00:00,2020-08-30 23:18:00+00:00,Falcon 9 Block 5 | SAOCOM 1B,Space Launch Complex 40,True
2020-060,2020-08-31 03:05:47+00:00,2020-08-31 03:05:47+00:00,Electron | I Can’t Believe It’s Not Optical (Capella 2 & First Light),Rocket Lab Launch Complex 1A,True
2020-062,2020-09-03 12:46:14+00:00,2020-09-03 12:46:14+00:00,Falcon 9 Block 5 | Starlink 11,Launch Complex 39A,True
2020-070,2020-10-06 11:29:34+00:00,2020-10-06 11:29:34+00:00,Falcon 9 Block 5 | Starlink 12,Launch Complex 39A,True
2020-073,2020-10-18 12:25:57+00:00,2020-10-18 12:25:57+00:00,Falcon 9 Block 5 | Starlink 13,Launch Complex 39A,True
2020-074,2020-10-24 15:31:34+00:00,2020-10-24 15:31:34+00:00,Falcon 9 Block 5 | Starlink 14,Space Launch Complex 40,True
2020-078,2020-11-05 23:24:00+00:00,2020-11-05 23:39:00+00:00,Falcon 9 Block 5 | GPS III SV04,Space Launch Complex 40,True
2020-083,2020-11-13 22:13:00+00:00,2020-11-14 01:05:00+00:00,Atlas V 531 | NROL-101,Space Launch Complex 41,True
2020-084,2020-11-16 00:27:17+00:00,2020-11-16 00:27:17+00:00,Falcon 9 Block 5 | Crew-1,Launch Complex 39A,True
2020-088,2020-11-25 02:13:12+00:00,2020-11-25 02:13:12+00:00,Falcon 9 Block 5 | Starlink 15,Space Launch Complex 40,True
2020-093,2020-12-06 16:17:08+00:00,2020-12-06 16:17:08+00:00,Falcon 9 Block 5 | Dragon CRS-2 SpX-21,Launch Complex 39A,True
2020-095,2020-12-10 22:50:00+00:00,2020-12-11 03:30:00+00:00,Delta IV Heavy | NROL-44,Space Launch Complex 37B,True
2020-096,2020-12-13 16:22:00+00:00,2020-12-13 18:21:00+00:00,Falcon 9 Block 5 | Sirius SXM-7,Space Launch Complex 40,True
2020-101,2020-12-19 14:00:00+00:00,2020-12-19 17:00:00+00:00,Falcon 9 Block 5 | NROL-108,Launch Complex 39A,True
2021-001,2021-01-08 01:28:00+00:00,2021-01-08 05:28:00+00:00,Falcon 9 Block 5 | Türksat 5A,Space Launch Complex 40,True
2021-005,2021-01-20 13:02:00+00:00,2021-01-20 13:02:00+00:00,Falcon 9 Block 5 | Starlink 16,Launch Complex 39A,True
2021-006,2021-01-24 15:00:00+00:00,2021-01-24 15:22:00+00:00,Falcon 9 Block 5 | Transporter 1 (Dedicated SSO Rideshare),Space Launch Complex 40,True
2021-009,2021-02-04 06:19:54+00:00,2021-02-04 06:19:54+00:00,Falcon 9 Block 5 | Starlink 18,Space Launch Complex 40,True
2021-012,2021-02-16 03:59:37+00:00,2021-02-16 03:59:37+00:00,Falcon 9 Block 5 | Starlink 19,Space Launch Complex 40,True
2021-017,2021-03-04 08:24:54+00:00,2021-03-04 08:24:54+00:00,Falcon 9 Block 5 | Starlink 17,Launch Complex 39A,True
2021-018,2021-03-11 08:13:29+00:00,2021-03-11 08:13:29+00:00,Falcon 9 Block 5 | Starlink 20,Space Launch Complex 40,True
2021-021,2021-03-14 10:01:26+00:00,2021-03-14 10:01:26+00:00,Falcon 9 Block 5 | Starlink 21,Launch Complex 39A,True
2021-024,2021-03-24 08:28:00+00:00,2021-03-24 08:28:00+00:00,Falcon 9 Block 5 | Starlink 22,Space Launch Complex 40,True
2021-027,2021-04-07 16:34:00+00:00,2021-04-07 16:34:00+00:00,Falcon 9 Block 5 | Starlink 23,Space Launch Complex 40,True
2021-030,2021-04-23 09:49:02+00:00,2021-04-23 09:49:02+00:00,Falcon 9 Block 5 | Crew-2,Launch Complex 39A,True
2021-036,2021-04-29 03:44:30+00:00,2021-04-29 03:44:30+00:00,Falcon 9 Block 5 | Starlink 24,Space Launch Complex 40,True
2021-038,2021-05-04 19:01:00+00:00,2021-05-04 19:01:00+00:00,Falcon 9 Block 5 | Starlink 25,Launch Complex 39A,True
2021-040,2021-05-09 06:42:00+00:00,2021-05-09 06:42:00+00:00,Falcon 9 Block 5 | Starlink 27,Space Launch Complex 40,True
2021-041,2021-05-15 22:56:00+00:00,2021-05-15 22:56:00+00:00,Falcon 9 Block 5 | Starlink 26,Launch Complex 39A,True
2021-042,2021-05-18 17:31:00+00:00,2021-05-18 18:11:00+00:00,Atlas V 421 | SBIRS GEO-5,Space Launch Complex 41,True
2021-044,2021-05-26 18:59:00+00:00,2021-05-26 18:59:00+00:00,Falcon 9 Block 5 | Starlink 28,Space Launch Complex 40,True
2021-048,2021-06-03 17:29:15+00:00,2021-06-03 17:29:15+00:00,Falcon 9 Block 5 | Dragon CRS-2 SpX-22,Launch Complex 39A,True
2021-049,2021-06-06 04:26:00+00:00,2021-06-06 06:25:00+00:00,Falcon 9 Block 5 | Sirius SXM-8,Space Launch Complex 40,True
2021-054,2021-06-17 16:09:00+00:00,2021-06-17 16:24:00+00:00,Falcon 9 Block 5 | GPS III SV05,Space Launch Complex 40,True
2021-059,2021-06-30 18:56:00+00:00,2021-06-30 19:54:00+00:00,Falcon 9 Block 5 | Transporter 2 (Dedicated SSO Rideshare),Space Launch Complex 40,True
2021-078,2021-08-29 07:14:49+00:00,2021-08-29 07:14:49+00:00,Falcon 9 Block 5 | Dragon CRS-2 SpX-23,Launch Complex 39A,True
2021-084,2021-09-16 00:02:00+00:00,2021-09-16 05:13:00+00:00,Falcon 9 Block 5 | Inspiration4,Launch Complex 39A,True
2021-093,2021-10-16 09:34:00+00:00,2021-10-16 10:49:00+00:00,Atlas V 401 | Lucy,Space Launch Complex 41,True
2021-103,2021-11-11 02:03:31+00:00,2021-11-11 02:03:31+00:00,Falcon 9 Block 5 | Crew-3,Launch Complex 39A,True
2021-104,2021-11-13 12:18:56+00:00,2021-11-13 12:18:56+00:00,Falcon 9 Block 5 | Starlink Group 4-1,Space Launch Complex 40,True
2021-115,2021-12-02 23:12:00+00:00,2021-12-02 23:12:00+00:00,Falcon 9 Block 5 | Starlink Group 4-3,Space Launch Complex 40,True
2021-118,2021-12-07 09:04:00+00:00,2021-12-07 11:04:00+00:00,Atlas V 551 | STP-3,Space Launch Complex 41,True
2021-121,2021-12-09 06:00:00+00:00,2021-12-09 07:30:00+00:00,Falcon 9 Block 5 | X-Ray Polarimetry Explorer (IXPE),Launch Complex 39A,True
2021-126,2021-12-19 03:58:00+00:00,2021-12-19 05:28:00+00:00,Falcon 9 Block 5 | Türksat 5B,Space Launch Complex 40,True
2021-127,2021-12-21 10:07:08+00:00,2021-12-21 10:07:08+00:00,Falcon 9 Block 5 | Dragon CRS-2 SpX-24,Launch Complex 39A,True
2022-001,2022-01-06 21:49:10+00:00,2022-01-06 21:49:10+00:00,Falcon 9 Block 5 | Starlink Group 4-5,Launch Complex 39A,True
2022-002,2022-01-13 15:25:39+00:00,2022-01-13 15:54:00+00:00,Falcon 9 Block 5 | Transporter 3 (Dedicated SSO Rideshare),Space Launch Complex 40,True
2022-005,2022-01-19 02:02:40+00:00,2022-01-19 02:02:40+00:00,Falcon 9 Block 5 | Starlink Group 4-6,Launch Complex 39A,True
2022-006,2022-01-21 18:15:00+00:00,2022-01-21 21:15:00+00:00,Atlas V 511 | USSF-8,Space Launch Complex 41,True
2022-008,2022-01-31 23:11:14+00:00,2022-01-31 23:11:14+00:00,Falcon 9 Block 5 | CSG-2,Space Launch Complex 40,True
2022-010,2022-02-03 18:13:20+00:00,2022-02-03 18:13:20+00:00,Falcon 9 Block 5 | Starlink Group 4-7,Launch Complex 39A,True
,2022-02-10 20:00:00+00:00,2022-02-10 21:00:00+00:00,Astra Rocket 3 | ELaNa 41,Space Launch Complex 46,True
2022-016,2022-02-21 14:44:20+00:00,2022-02-21 14:44:20+00:00,Falcon 9 Block 5 | Starlink Group 4-8,Space Launch Complex 40,True
2022-021,2022-03-01 21:38:00+00:00,2022-03-01 23:38:00+00:00,Atlas V 541 | GOES-T,Space Launch Complex 41,True
2022-022,2022-03-03 14:25:00+00:00,2022-03-03 14:25:00+00:00,Falcon 9 Block 5 | Starlink Group 4-9,Launch Complex 39A,True
2022-025,2022-03-09 13:45:00+00:00,2022-03-09 13:45:00+00:00,Falcon 9 Block 5 | Starlink Group 4-10,Space Launch Complex 40,True
2022-029,2022-03-19 04:42:30+00:00,2022-03-19 04:42:30+00:00,Falcon 9 Block 5 | Starlink Group 4-12,Space Launch Complex 40,True
2022-033,2022-04-01 16:24:17+00:00,2022-04-01 16:24:17+00:00,Falcon 9 Block 5 | Transporter 4 (Dedicated SSO Rideshare),Space Launch Complex 40,True
2022-037,2022-04-08 15:17:11+00:00,2022-04-08 15:17:11+00:00,Falcon 9 Block 5 | Axiom Space Mission 1,Launch Complex 39A,True
2022-041,2022-04-21 17:51:40+00:00,2022-04-21 17:51:40+00:00,Falcon 9 Block 5 | Starlink Group 4-14,Space Launch Complex 40,True
2022-042,2022-04-27 07:52:55+00:00,2022-04-27 07:52:55+00:00,Falcon 9 Block 5 | Crew-4,Launch Complex 39A,True
2022-045,2022-04-29 21:27:10+00:00,2022-04-29 21:27:10+00:00,Falcon 9 Block 5 | Starlink Group 4-16,Space Launch Complex 40,True
2022-049,2022-05-06 09:42:00+00:00,2022-05-06 09:42:00+00:00,Falcon 9 Block 5 | Starlink Group 4-17,Launch Complex 39A,True
2022-052,2022-05-14 20:40:50+00:00,2022-05-14 20:40:50+00:00,Falcon 9 Block 5 | Starlink Group 4-15,Space Launch Complex 40,True
2022-053,2022-05-18 10:59:40+00:00,2022-05-18 10:59:40+00:00,Falcon 9 Block 5 | Starlink Group 4-18,Launch Complex 39A,True
2022-055,2022-05-19 22:54:47+00:00,2022-05-19 22:54:47+00:00,Atlas V N22 | CST-100 Starliner Orbital Flight Test 2 (OFT-2),Space Launch Complex 41,True
2022-057,2022-05-25 18:27:00+00:00,2022-05-25 19:24:00+00:00,Falcon 9 Block 5 | Transporter 5 (Dedicated SSO Rideshare),Space Launch Complex 40,True
2022-061,2022-06-08 21:04:00+00:00,2022-06-08 23:33:00+00:00,Falcon 9 Block 5 | Nilesat-301,Space Launch Complex 40,True
,2022-06-12 16:00:00+00:00,2022-06-12 18:00:00+00:00,Astra Rocket 3 | TROPICS-1,Space Launch Complex 46,True
2022-062,2022-06-17 16:08:50+00:00,2022-06-17 16:08:50+00:00,Falcon 9 Block 5 | Starlink Group 4-19,Launch Complex 39A,True
2022-064,2022-06-19 04:27:36+00:00,2022-06-19 04:27:36+00:00,Falcon 9 Block 5 | Globalstar-2 FM15 & USA 328-331,Space Launch Complex 40,True
2022-071,2022-06-29 21:04:00+00:00,2022-06-29 23:04:00+00:00,Falcon 9 Block 5 | SES-22,Space Launch Complex 40,True
2022-073,2022-07-01 22:00:00+00:00,2022-07-02 00:00:00+00:00,Atlas V 541 | USSF-12,Space Launch Complex 41,True
2022-076,2022-07-07 13:11:00+00:00,2022-07-07 13:11:00+00:00,Falcon 9 Block 5 | Starlink Group 4-21,Space Launch Complex 40,True
2022-081,2022-07-15 00:44:20+00:00,2022-07-15 00:44:20+00:00,Falcon 9 Block 5 | Dragon CRS-2 SpX-25,Launch Complex 39A,True
2022-083,2022-07-17 14:20:00+00:00,2022-07-17 14:20:00+00:00,Falcon 9 Block 5 | Starlink Group 4-22,Space Launch Complex 40,True
2022-086,2022-07-24 13:38:20+00:00,2022-07-24 13:38:20+00:00,Falcon 9 Block 5 | Starlink Group 4-25,Launch Complex 39A,True
2022-092,2022-08-04 10:29:00+00:00,2022-08-04 11:09:00+00:00,Atlas V 421 | SBIRS GEO-6,Space Launch Complex 41,True
2022-094,2022-08-04 23:08:48+00:00,2022-08-04 23:08:48+00:00,Falcon 9 Block 5 | Danuri (KPLO - Korean Pathfinder Lunar Orbiter),Space Launch Complex 40,True
2022-097,2022-08-10 02:14:40+00:00,2022-08-10 02:14:40+00:00,Falcon 9 Block 5 | Starlink Group 4-26,Launch Complex 39A,True
2022-101,2022-08-19 19:21:20+00:00,2022-08-19 19:21:20+00:00,Falcon 9 Block 5 | Starlink Group 4-27,Space Launch Complex 40,True
2022-104,2022-08-28 03:41:20+00:00,2022-08-28 03:41:20+00:00,Falcon 9 Block 5 | Starlink Group 4-23,Space Launch Complex 40,True
2022-107,2022-09-05 02:09:40+00:00,2022-09-05 02:09:40+00:00,Falcon 9 Block 5 | Starlink Group 4-20 & Varuna-TDM,Space Launch Complex 40,True
2022-111,2022-09-11 01:20:00+00:00,2022-09-11 01:20:00+00:00,Falcon 9 Block 5 | Starlink Group 4-2 & BlueWalker 3,Launch Complex 39A,True
2022-114,2022-09-19 00:18:40+00:00,2022-09-19 00:18:40+00:00,Falcon 9 Block 5 | Starlink Group 4-34,Space Launch Complex 40,True
2022-119,2022-09-24 23:32:10+00:00,2022-09-24 23:32:10+00:00,Falcon 9 Block 5 | Starlink Group 4-35,Space Launch Complex 40,True
2022-123,2022-10-04 21:36:00+00:00,2022-10-04 22:21:00+00:00,Atlas V 531 | SES-20 & SES-21,Space Launch Complex 41,True
2022-124,2022-10-05 16:00:57+00:00,2022-10-05 16:00:57+00:00,Falcon 9 Block 5 | Crew-5,Launch Complex 39A,True
2022-128,2022-10-08 23:05:00+00:00,2022-10-09 00:15:00+00:00,Falcon 9 Block 5 | Galaxy 33 & 34,Space Launch Complex 40,True
2022-134,2022-10-15 03:26:00+00:00,2022-10-15 05:22:00+00:00,Falcon 9 Block 5 | Hotbird 13F,Space Launch Complex 40,True
2022-136,2022-10-20 14:50:40+00:00,2022-10-20 14:50:40+00:00,Falcon 9 Block 5 | Starlink Group 4-36,Space Launch Complex 40,True
2022-144,2022-11-01 13:41:00+00:00,2022-11-01 14:11:00+00:00,Falcon Heavy | USSF-44,Launch Complex 39A,True
2022-146,2022-11-03 03:26:00+00:00,2022-11-03 05:22:00+00:00,Falcon 9 Block 5 | Hotbird 13G,Space Launch Complex 40,True
2022-153,2022-11-12 16:06:00+00:00,2022-11-12 18:06:00+00:00,Falcon 9 Block 5 | Galaxy 31 & 32,Space Launch Complex 40,True
2022-156,2022-11-16 06:04:00+00:00,2022-11-16 08:04:00+00:00,SLS Block 1 | Artemis I,Launch Complex 39B,True
2022-157,2022-11-23 02:57:00+00:00,2022-11-23 02:57:00+00:00,Falcon 9 Block 5 | Eutelsat 10B,Space Launch Complex 40,True
2022-159,2022-11-26 19:20:43+00:00,2022-11-26 19:20:43+00:00,Falcon 9 Block 5 | Dragon CRS-2 SpX-26,Launch Complex 39A,True
2022-166,2022-12-08 22:27:48+00:00,2022-12-08 22:27:48+00:00,Falcon 9 Block 5 | OneWeb 15,Launch Complex 39A,True
2022-168,2022-12-11 07:38:13+00:00,2022-12-11 07:38:13+00:00,Falcon 9 Block 5 | Hakuto-R M1 & Lunar Flashlight,Space Launch Complex 40,True
2022-174,2022-12-16 21:21:00+00:00,2022-12-16 22:48:00+00:00,Falcon 9 Block 5 | O3b mPower 1 & 2,Space Launch Complex 40,True
2022-175,2022-12-17 21:32:30+00:00,2022-12-17 21:32:30+00:00,Falcon 9 Block 5 | Starlink Group 4-37,Launch Complex 39A,True
2022-177,2022-12-28 09:30:00+00:00,2022-12-28 11:32:00+00:00,Falcon 9 Block 5 | Starlink Group 5-1,Space Launch Complex 40,True
2023-001,2023-01-03 14:55:56+00:00,2023-01-03 14:55:56+00:00,Falcon 9 Block 5 | Transporter 6 (Dedicated SSO Rideshare),Space Launch Complex 40,True
2023-004,2023-01-10 04:45:00+00:00,2023-01-10 05:05:00+00:00,Falcon 9 Block 5 | OneWeb 16,Space Launch Complex 40,True
2023-008,2023-01-15 22:56:00+00:00,2023-01-15 23:33:00+00:00,Falcon Heavy | USSF-67,Launch Complex 39A,True
2023-009,2023-01-18 12:10:00+00:00,2023-01-18 12:25:00+00:00,Falcon 9 Block 5 | GPS III SV06,Space Launch Complex 40,True
2023-013,2023-01-26 09:02:00+00:00,2023-01-26 11:24:00+00:00,Falcon 9 Block 5 | Starlink Group 5-2,Space Launch Complex 40,True
2023-015,2023-02-02 07:37:00+00:00,2023-02-02 12:07:00+00:00,Falcon 9 Block 5 | Starlink Group 5-3,Launch Complex 39A,True
2023-017,2023-02-06 22:32:00+00:00,2023-02-07 02:32:00+00:00,Falcon 9 Block 5 | Amazonas Nexus,Space Launch Complex 40,True
2023-020,2023-02-12 05:10:10+00:00,2023-02-12 05:10:10+00:00,Falcon 9 Block 5 | Starlink Group 5-4,Space Launch Complex 40,True
2023-022,2023-02-18 03:59:00+00:00,2023-02-18 05:28:00+00:00,Falcon 9 Block 5 | Inmarsat-6 F2,Space Launch Complex 40,True
2023-026,2023-02-27 23:13:50+00:00,2023-02-27 23:13:50+00:00,Falcon 9 Block 5 | Starlink Group 6-1,Space Launch Complex 40,True
2023-027,2023-03-02 05:34:14+00:00,2023-03-02 05:34:14+00:00,Falcon 9 Block 5 | Crew-6,Launch Complex 39A,True
2023-029,2023-03-09 19:13:28+00:00,2023-03-09 19:13:28+00:00,Falcon 9 Block 5 | OneWeb 17,Space Launch Complex 40,True
2023-033,2023-03-15 00:30:42+00:00,2023-03-15 00:30:42+00:00,Falcon 9 Block 5 | Dragon CRS-2 SpX-27,Launch Complex 39A,True
2023-035,2023-03-16 22:00:00+00:00,2023-03-17 00:00:00+00:00,Electron | Stronger Together (Capella 9-10),Rocket Lab Launch Complex 2 (Launch Area 0 C),True
2023-038,2023-03-17 23:38:00+00:00,2023-03-18 00:16:00+00:00,Falcon 9 Block 5 | SES-18 & SES-19,Space Launch Complex 40,True
,2023-03-23 02:00:00+00:00,2023-03-23 05:00:00+00:00,"Terran 1 | Good Luck, Have Fun (Maiden Flight)",Launch Complex 16,True
2023-042,2023-03-24 15:43:10+00:00,2023-03-24 18:55:00+00:00,Falcon 9 Block 5 | Starlink Group 5-5,Space Launch Complex 40,True
2023-046,2023-03-29 20:01:00+00:00,2023-03-29 23:54:00+00:00,Falcon 9 Block 5 | Starlink Group 5-10,Space Launch Complex 40,True
2023-052,2023-04-07 04:30:00+00:00,2023-04-07 06:29:00+00:00,Falcon 9 Block 5 | Intelsat 40e,Space Launch Complex 40,True
2023-056,2023-04-19 13:47:00+00:00,2023-04-19 14:31:10+00:00,Falcon 9 Block 5 | Starlink Group 6-2,Space Launch Complex 40,True
2023-059,2023-04-28 21:12:00+00:00,2023-04-28 22:40:00+00:00,Falcon 9 Block 5 | O3b mPower 3 & 4,Space Launch Complex 40,True
2023-060,2023-04-30 23:29:00+00:00,2023-05-01 00:26:00+00:00,Falcon Heavy | ViaSat-3 Americas & others,Launch Complex 39A,True
2023-061,2023-05-04 07:31:00+00:00,2023-05-04 07:31:00+00:00,Falcon 9 Block 5 | Starlink Group 5-6,Space Launch Complex 40,True
2023-065,2023-05-14 05:03:50+00:00,2023-05-14 05:03:50+00:00,Falcon 9 Block 5 | Starlink Group 5-9,Space Launch Complex 40,True
2023-067,2023-05-19 04:41:30+00:00,2023-05-19 07:09:00+00:00,Falcon 9 Block 5 | Starlink Group 6-3,Space Launch Complex 40,True
2023-070,2023-05-21 21:37:09+00:00,2023-05-21 21:37:09+00:00,Falcon 9 Block 5 | Axiom Space Mission 2,Launch Complex 39A,True
2023-075,2023-05-27 03:25:00+00:00,2023-05-27 05:32:00+00:00,Falcon 9 Block 5 | BADR-8,Space Launch Complex 40,True
2023-079,2023-06-04 09:56:00+00:00,2023-06-04 12:20:00+00:00,Falcon 9 Block 5 | Starlink Group 6-4,Space Launch Complex 40,True
2023-080,2023-06-05 15:47:00+00:00,2023-06-05 15:47:00+00:00,Falcon 9 Block 5 | Dragon CRS-2 SpX-28,Launch Complex 39A,True
2023-083,2023-06-12 07:10:50+00:00,2023-06-12 08:52:00+00:00,Falcon 9 Block 5 | Starlink Group 5-11,Space Launch Complex 40,True
2023-086,2023-06-18 22:04:00+00:00,2023-06-19 01:02:00+00:00,Falcon 9 Block 5 | Satria-1,Space Launch Complex 40,True
2023-089,2023-06-22 07:00:00+00:00,2023-06-22 11:45:00+00:00,Delta IV Heavy | NROL-68,Space Launch Complex 37B,True
2023-090,2023-06-23 13:56:10+00:00,2023-06-23 15:35:10+00:00,Falcon 9 Block 5 | Starlink Group 5-12,Space Launch Complex 40,True
2023-092,2023-07-01 15:12:00+00:00,2023-07-01 15:12:00+00:00,Falcon 9 Block 5 | Euclid,Space Launch Complex 40,True
2023-096,2023-07-10 03:58:50+00:00,2023-07-10 03:58:50+00:00,Falcon 9 Block 5 | Starlink Group 6-5,Space Launch Complex 40,True
2023-099,2023-07-16 03:50:00+00:00,2023-07-16 03:50:00+00:00,Falcon 9 Block 5 | Starlink Group 5-15,Space Launch Complex 40,True
2023-105,2023-07-23 23:09:20+00:00,2023-07-24 02:31:00+00:00,Falcon 9 Block 5 | Starlink Group 6-6,Space Launch Complex 40,True
2023-107,2023-07-28 02:20:10+00:00,2023-07-28 04:01:10+00:00,Falcon 9 Block 5 | Starlink Group 6-7,Space Launch Complex 40,True
2023-108,2023-07-29 03:04:00+00:00,2023-07-29 04:43:00+00:00,Falcon Heavy | EchoStar 24/Jupiter-3,Launch Complex 39A,True
2023-112,2023-08-03 04:15:00+00:00,2023-08-03 06:15:00+00:00,Falcon 9 Block 5 | Galaxy 37,Space Launch Complex 40,True
2023-113,2023-08-07 01:00:00+00:00,2023-08-07 04:22:00+00:00,Falcon 9 Block 5 | Starlink Group 6-8,Space Launch Complex 40,True
2023-119,2023-08-11 05:17:40+00:00,2023-08-11 05:17:40+00:00,Falcon 9 Block 5 | Starlink Group 6-9,Space Launch Complex 40,True
2023-122,2023-08-17 00:14:50+00:00,2023-08-17 04:00:00+00:00,Falcon 9 Block 5 | Starlink Group 6-10,Space Launch Complex 40,True
2023-126,2023-08-23 23:30:00+00:00,2023-08-24 03:30:00+00:00,Electron | We Love the Nightlife (Capella Acadia 1),Rocket Lab Launch Complex 1B,True
2023-128,2023-08-26 07:27:27+00:00,2023-08-26 07:27:27+00:00,Falcon 9 Block 5 | Crew-7,Launch Complex 39A,True
2023-129,2023-08-27 01:05:40+00:00,2023-08-27 03:04:30+00:00,Falcon 9 Block 5 | Starlink Group 6-11,Space Launch Complex 40,True
2023-131,2023-08-31 23:52:20+00:00,2023-09-01 03:12:20+00:00,Falcon 9 Block 5 | Starlink Group 6-13,Space Launch Complex 40,True
2023-134,2023-09-03 23:34:00+00:00,2023-09-04 03:05:30+00:00,Falcon 9 Block 5 | Starlink Group 6-12,Launch Complex 39A,True
2023-138,2023-09-08 23:56:10+00:00,2023-09-09 03:30:30+00:00,Falcon 9 Block 5 | Starlink Group 6-14,Space Launch Complex 40,True
2023-140,2023-09-10 12:47:00+00:00,2023-09-10 14:35:00+00:00,Atlas V 551 | NROL-107 (Silent Barker),Space Launch Complex 41,True
2023-144,2023-09-16 03:38:20+00:00,2023-09-16 04:07:30+00:00,Falcon 9 Block 5 | Starlink Group 6-16,Space Launch Complex 40,True
,2023-09-19 06:33:00+00:00,2023-09-19 06:55:00+00:00,Electron | We Will Never Desert You (Capella Acadia 2),Rocket Lab Launch Complex 1B,True
2023-146,2023-09-20 02:47:40+00:00,2023-09-20 05:46:30+00:00,Falcon 9 Block 5 | Starlink Group 6-17,Space Launch Complex 40,True
2023-147,2023-09-24 01:07:00+00:00,2023-09-24 04:05:30+00:00,Falcon 9 Block 5 | Starlink Group 6-18,Space Launch Complex 40,True
2023-151,2023-09-29 22:39:30+00:00,2023-09-30 02:15:50+00:00,Falcon 9 Block 5 | Starlink Group 6-19,Space Launch Complex 40,True
2023-153,2023-10-05 02:45:00+00:00,2023-10-05 05:57:00+00:00,Falcon 9 Block 5 | Starlink Group 6-21,Space Launch Complex 40,True
2023-154,2023-10-06 18:00:00+00:00,2023-10-06 20:00:00+00:00,Atlas V 501 | Project Kuiper Protoflight Mission (Atlas V #1),Space Launch Complex 41,True
2023-157,2023-10-13 14:19:43+00:00,2023-10-13 14:19:43+00:00,Falcon Heavy | Psyche,Launch Complex 39A,True
2023-158,2023-10-13 23:01:10+00:00,2023-10-14 02:29:30+00:00,Falcon 9 Block 5 | Starlink Group 6-22,Space Launch Complex 40,True
