slug,name,window_start,window_end,status,error,basepath,launch_designator,slc,launch_success_flag,pad_s,hp_hz,n_traces,mseed_path,trace_csv_path,station_csv_path,pickle_path
falcon-9-full-thrust-jcsat-14,Falcon 9 Full Thrust | JCSAT-14,2016-05-06 05:21:00+00:00,2016-05-06 07:21:00+00:00,no_data,,event_outputs/falcon-9-full-thrust-jcsat-14_20160506T052100Z,,,,,,,,,,
falcon-9-full-thrust-thaicom-8,Falcon 9 Full Thrust | Thaicom 8,2016-05-27 21:39:00+00:00,2016-05-27 23:39:00+00:00,ok,,event_outputs/falcon-9-full-thrust-thaicom-8_20160527T213900Z,2016-031,Space Launch Complex 40,True,60.0,0.1,6.0,event_outputs/falcon-9-full-thrust-thaicom-8_20160527T213900Z.mseed,event_outputs/falcon-9-full-thrust-thaicom-8_20160527T213900Z.csv,event_outputs/falcon-9-full-thrust-thaicom-8_20160527T213900Z_station.csv,
